"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","338305","276736","43686","19851","3596","143795","62052","3756","61569"
"男性","Male","210720","174859","17547","5118","1064","111608","38337","1185","35861"
"女性","Female","127585","101877","26139","14733","2532","32187","23715","2571","25708"
"中央各機關","CentralGovernmentAgency","186820","142127","29410","10287","1491","60176","38890","1873","44693"
"行政機關","AdministrativeAgency","89052","80321","17271","3338","722","39050","18675","1265","8731"
"公營事業機構","PublicEnterpriseOrg.","70593","43711","3810","2923","535","18000","18109","334","26882"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17540","10029","6150","2562","4","620","634","59","7511"
"公立學校(職員)","PublicSchool(Staff)","9635","8066","2179","1464","230","2506","1472","215","1569"
"臺灣各縣市機關","LocalCounty(City)Agency","109926","99871","8465","6261","1368","65247","17523","1007","10055"
"行政機關","AdministrativeAgency","98869","90605","6404","4551","1342","61945","15658","705","8264"
"公營事業機構","PublicEnterpriseOrg.","86","65","5","2","－","41","16","1","21"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","272","133","89","22","－","14","8","－","139"
"公立學校(職員)","PublicSchool(Staff)","10699","9068","1967","1686","26","3247","1841","301","1631"
"臺北市各機關","TaipeiCityAgency","28104","22680","4120","2379","453","12050","3220","458","5424"
"行政機關","AdministrativeAgency","20601","18201","2604","1287","391","11140","2507","272","2400"
"公營事業機構","PublicEnterpriseOrg.","2134","535","228","54","2","105","99","47","1599"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2338","1239","660","458","－","58","58","5","1099"
"公立學校(職員)","PublicSchool(Staff)","3031","2705","628","580","60","747","556","134","326"
"高雄市各機關","KaohsiungCityAgency","12058","10815","1622","904","278","5750","2051","210","1243"
"行政機關","AdministrativeAgency","9918","9209","1111","593","247","5466","1664","128","709"
"公營事業機構","PublicEnterpriseOrg.","90","66","14","7","6","27","12","－","24"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","819","447","251","96","1","39","57","3","372"
"公立學校(職員)","PublicSchool(Staff)","1231","1093","246","208","24","218","318","79","138"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1397","1243","69","20","6","572","368","208","154"
"行政機關","AdministrativeAgency","1175","1064","53","14","6","535","304","152","111"
"公營事業機構","PublicEnterpriseOrg.","94","77","3","－","－","18","22","34","17"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","22","9","4","2","－","－","3","－","13"
"公立學校(職員)","PublicSchool(Staff)","106","93","9","4","－","19","39","22","13"
