"性別與機關別","Sex & Agency","總計 Grand Total","本機關內調動 Transfer in Original Agency 計 Total","調升 Promotion","平調 General","降調 Degrade","新進人員(人)  Newly-appointed Staff (Person) 計 Total","考試及及格分發 Assignment of Passing Examination","他機關調進 Transferred From Others","其他任用資格 Other Qualification","調至他機關 Transferred To Other Agency","辭職(人) Resignation (Person)"
"總計","GrandTotal","86018","38540","13183","24786","571","32288","12384","14031","5873","14826","364"
"男性","Male","56760","28828","7881","20569","378","19134","7464","8151","3519","8584","214"
"女性","Female","29258","9712","5302","4217","193","13154","4920","5880","2354","6242","150"
"中央各機關","CentralGovernmentAgency","41069","18239","7791","10300","148","16553","5540","6067","4946","6104","173"
"行政機關","AdministrativeAgency","22124","8270","4308","3898","64","8906","3466","4954","486","4844","104"
"公營事業機構","PublicEnterpriseOrg.","15310","8657","2474","6131","52","6181","1969","316","3896","445","27"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1835","667","584","66","17","746","10","203","533","394","28"
"公立學校(職員)","PublicSchool(Staff)","1800","645","425","205","15","720","95","594","31","421","14"
"臺灣各縣市機關","LocalCounty(City)Agency","32377","14766","3450","10975","341","11136","4683","5852","601","6342","133"
"行政機關","AdministrativeAgency","30055","14468","3302","10849","317","9964","4581","4858","525","5498","125"
"公營事業機構","PublicEnterpriseOrg.","21","3","3","－","－","10","6","4","－","8","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","39","2","2","－","－","29","9","9","11","8","－"
"公立學校(職員)","PublicSchool(Staff)","2262","293","143","126","24","1133","87","981","65","828","8"
"臺北市各機關","TaipeiCityAgency","8571","3742","1407","2268","67","3041","1743","1037","261","1749","39"
"行政機關","AdministrativeAgency","7393","3345","1200","2097","48","2551","1655","774","122","1463","34"
"公營事業機構","PublicEnterpriseOrg.","294","116","62","50","4","150","3","24","123","27","1"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","145","54","46","8","－","43","14","16","13","45","3"
"公立學校(職員)","PublicSchool(Staff)","739","227","99","113","15","297","71","223","3","214","1"
"高雄市各機關","KaohsiungCityAgency","3717","1712","504","1195","13","1424","361","1006","57","568","13"
"行政機關","AdministrativeAgency","3401","1584","427","1149","8","1260","328","892","40","547","10"
"公營事業機構","PublicEnterpriseOrg.","31","14","4","10","－","13","5","7","1","3","1"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","82","34","31","1","2","36","12","14","10","11","1"
"公立學校(職員)","PublicSchool(Staff)","203","80","42","35","3","115","16","93","6","7","1"
