"性別及機關別","Sex & Agency","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","男性 Male","女性 Female"
"總計","GrandTotal","338305","5892","20818","35084","59655","63877","64098","48915","28345","10834","787","43.19","210720","127585"
"男性","Male","210720","4364","10667","19876","36003","39101","38396","32302","20800","8576","635","43.88","",""
"女性","Female","127585","1528","10151","15208","23652","24776","25702","16613","7545","2258","152","42.03","",""
"中央各機關","CentralGovernmentAgency","186820","1133","9729","17567","27744","32855","35091","31504","21474","9075","648","44.84","115404","71416"
"行政機關","AdministrativeAgency","89052","746","5207","10531","16764","17141","15940","12542","6910","2881","390","43.08","56721","32331"
"公營事業機構","PublicEnterpriseOrg.","70593","295","2646","3684","5371","9738","13566","16003","13226","5829","235","48.25","51016","19577"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17540","61","1640","2658","3812","3643","3064","1529","865","252","16","40.72","4204","13336"
"公立學校(職員)","PublicSchool(Staff)","9635","31","236","694","1797","2333","2521","1430","473","113","7","43.72","3463","6172"
"臺灣各縣市機關","LocalCounty(City)Agency","109926","3907","7885","11861","23952","23252","21238","11918","4645","1162","106","41.00","70927","38999"
"行政機關","AdministrativeAgency","98869","3881","7606","11116","21888","20518","18152","10275","4250","1083","100","40.71","68995","29874"
"公營事業機構","PublicEnterpriseOrg.","86","2","4","7","6","12","19","15","14","7","－","46.78","53","33"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","272","4","16","64","48","48","33","41","14","4","－","40.68","88","184"
"公立學校(職員)","PublicSchool(Staff)","10699","20","259","674","2010","2674","3034","1587","367","68","6","43.62","1791","8908"
"臺北市各機關","TaipeiCityAgency","28104","729","2488","4239","5437","4938","4827","3534","1483","406","23","40.93","15951","12153"
"行政機關","AdministrativeAgency","20601","713","2145","3301","3852","3481","3283","2454","1077","280","15","40.29","13330","7271"
"公營事業機構","PublicEnterpriseOrg.","2134","5","115","418","630","341","239","183","116","81","6","40.79","1566","568"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2338","2","91","290","446","487","518","349","123","30","2","42.96","538","1800"
"公立學校(職員)","PublicSchool(Staff)","3031","9","137","230","509","629","787","548","167","15","－","43.76","517","2514"
"高雄市各機關","KaohsiungCityAgency","12058","100","622","1214","2303","2637","2749","1673","607","147","6","42.65","7381","4677"
"行政機關","AdministrativeAgency","9918","94","576","1064","1920","2207","2138","1297","491","126","5","42.31","6863","3055"
"公營事業機構","PublicEnterpriseOrg.","90","1","5","6","12","11","17","23","11","3","1","45.78","60","30"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","819","2","13","65","169","172","220","107","59","12","－","43.90","235","584"
"公立學校(職員)","PublicSchool(Staff)","1231","3","28","79","202","247","374","246","46","6","－","44.30","223","1008"
