"性別及機關別","Sex & Agency","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15-20年 Years","20-25年 Years","25-30年 Years","30年以上 30 Years & Over","平均年資(年) Average Seniority(Year)"
"總計","GrandTotal","338305","44549","34572","50905","79063","55475","43816","29925","16.87"
"男性","Male","210720","25749","17881","26930","49788","39646","28563","22163","17.73"
"女性","Female","127585","18800","16691","23975","29275","15829","15253","7762","15.45"
"中央各機關","CentralGovernmentAgency","186820","21085","19328","25675","42416","28475","26649","23192","17.95"
"行政機關","AdministrativeAgency","89052","12810","10750","13859","21114","13370","10425","6724","16.08"
"公營事業機構","PublicEnterpriseOrg.","70593","5720","4595","6083","14049","11002","13620","15524","21.27"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17540","2007","3048","3707","4347","2376","1495","560","14.64"
"公立學校(職員)","PublicSchool(Staff)","9635","548","935","2026","2906","1727","1109","384","16.88"
"臺灣各縣市機關","LocalCounty(City)Agency","109926","16993","10733","18323","26781","19897","12631","4568","15.55"
"行政機關","AdministrativeAgency","98869","16397","9665","16080","23630","18005","10902","4190","15.35"
"公營事業機構","PublicEnterpriseOrg.","86","15","6","13","14","12","6","20","18.21"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","272","58","75","49","39","27","19","5","11.73"
"公立學校(職員)","PublicSchool(Staff)","10699","523","987","2181","3098","1853","1704","353","17.40"
"臺北市各機關","TaipeiCityAgency","28104","4970","3341","5047","6777","4190","2448","1331","14.57"
"行政機關","AdministrativeAgency","20601","4289","2159","3420","4917","3079","1739","998","14.25"
"公營事業機構","PublicEnterpriseOrg.","2134","306","505","590","350","114","106","163","13.25"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2338","67","418","509","651","414","208","71","16.04"
"公立學校(職員)","PublicSchool(Staff)","3031","308","259","528","859","583","395","99","16.60"
"高雄市各機關","KaohsiungCityAgency","12058","1294","1038","1658","2823","2712","1925","608","17.41"
"行政機關","AdministrativeAgency","9918","1128","844","1296","2314","2281","1524","531","17.37"
"公營事業機構","PublicEnterpriseOrg.","90","16","10","20","14","14","11","5","15.16"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","819","68","79","146","213","162","129","22","16.91"
"公立學校(職員)","PublicSchool(Staff)","1231","82","105","196","282","255","261","50","18.24"
"資料來源：全國公務人力資料庫。","Source:AllCivilServantsDatabase."
