"機關別","Agency","總計 Grand Total","應銓敘(人) Qualification Should be Screened (person)","應銓敘(百分比) Qualification Should be Screened (%)","不必銓敘(人) Qualification Should not be Screened (person)","不必銓敘(百分比) Qualification Should not be Screened (%)"
"總計","GrandTotal","338305","271364","80.21","66941","19.79"
"行政機關","AdministrativeAgency","219615","216849","98.74","2766","1.26"
"公營事業機構","PublicEnterpriseOrg.","72997","9005","12.34","63992","87.66"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","20991","20846","99.31","145","0.69"
"公立學校(職員)","PublicSchool(Staff)","24702","24664","99.85","38","0.15"
"中央各機關","CentralGovernmentAgency","186820","121838","65.22","64982","34.78"
"行政機關","AdministrativeAgency","89052","87573","98.34","1479","1.66"
"公營事業機構","PublicEnterpriseOrg.","70593","7236","10.25","63357","89.75"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17540","17421","99.32","119","0.68"
"公立學校(職員)","PublicSchool(Staff)","9635","9608","99.72","27","0.28"
"臺灣各縣市機關","LocalCounty(City)Agency","109926","108796","98.97","1130","1.03"
"行政機關","AdministrativeAgency","98869","97784","98.90","1085","1.10"
"公營事業機構","PublicEnterpriseOrg.","86","48","55.81","38","44.19"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","272","271","99.63","1","0.37"
"公立學校(職員)","PublicSchool(Staff)","10699","10693","99.94","6","0.06"
"臺北市各機關","TaipeiCityAgency","28104","27365","97.37","739","2.63"
"行政機關","AdministrativeAgency","20601","20478","99.40","123","0.60"
"公營事業機構","PublicEnterpriseOrg.","2134","1540","72.16","594","27.84"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2338","2318","99.14","20","0.86"
"公立學校(職員)","PublicSchool(Staff)","3031","3029","99.93","2","0.07"
"高雄市各機關","KaohsiungCityAgency","12058","11989","99.43","69","0.57"
"行政機關","AdministrativeAgency","9918","9859","99.41","59","0.59"
"公營事業機構","PublicEnterpriseOrg.","90","87","96.67","3","3.33"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","819","814","99.39","5","0.61"
"公立學校(職員)","PublicSchool(Staff)","1231","1229","99.84","2","0.16"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1397","1376","98.50","21","1.50"
"行政機關","AdministrativeAgency","1175","1155","98.30","20","1.70"
"公營事業機構","PublicEnterpriseOrg.","94","94","100.00","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","22","22","100.00","－","－"
"公立學校(職員)","PublicSchool(Staff)","106","105","99.06","1","0.94"
