"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","338305","41681","2712","38969","115382","111268","66181","3793"
"男性","Male","210720","27877","2192","25685","58171","70036","51298","3338"
"女性","Female","127585","13804","520","13284","57211","41232","14883","455"
"中央各機關","CentralGovernmentAgency","186820","29874","2484","27390","71189","51738","30581","3438"
"行政機關","AdministrativeAgency","89052","19346","1972","17374","33844","21966","13657","239"
"公營事業機構","PublicEnterpriseOrg.","70593","7137","264","6873","23916","20948","15416","3176"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17540","1800","218","1582","8895","6038","796","11"
"公立學校(職員)","PublicSchool(Staff)","9635","1591","30","1561","4534","2786","712","12"
"臺灣各縣市機關","LocalCounty(City)Agency","109926","6690","111","6579","29703","45044","28244","245"
"行政機關","AdministrativeAgency","98869","6259","109","6150","25252","40174","26947","237"
"公營事業機構","PublicEnterpriseOrg.","86","9","－","9","27","31","19","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","272","21","1","20","135","102","14","－"
"公立學校(職員)","PublicSchool(Staff)","10699","401","1","400","4289","4737","1264","8"
"臺北市各機關","TaipeiCityAgency","28104","3594","84","3510","10166","9996","4303","45"
"行政機關","AdministrativeAgency","20601","2657","55","2602","6644","7562","3714","24"
"公營事業機構","PublicEnterpriseOrg.","2134","552","3","549","1053","390","122","17"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2338","192","23","169","904","1026","215","1"
"公立學校(職員)","PublicSchool(Staff)","3031","193","3","190","1565","1018","252","3"
"高雄市各機關","KaohsiungCityAgency","12058","1386","31","1355","3930","3988","2744","10"
"行政機關","AdministrativeAgency","9918","1159","24","1135","2909","3260","2582","8"
"公營事業機構","PublicEnterpriseOrg.","90","12","－","12","36","29","13","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","819","109","6","103","351","312","46","1"
"公立學校(職員)","PublicSchool(Staff)","1231","106","1","105","634","387","103","1"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1397","137","2","135","394","502","309","55"
"行政機關","AdministrativeAgency","1175","118","2","116","327","435","250","45"
"公營事業機構","PublicEnterpriseOrg.","94","8","－","8","26","24","30","6"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","22","1","－","1","13","6","2","－"
"公立學校(職員)","PublicSchool(Staff)","106","10","－","10","28","37","27","4"
