"性別及機關別","Sex & Agency","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15-20年 Years","20-25年 Years","25-30年 Years","30年以上 30 Years & Over","平均年資(年) Average Seniority(Year)"
"總計","GrandTotal","335274","34318","36504","66868","74747","54764","39097","28976","16.72"
"男性","Male","211374","18919","18576","38372","50456","36873","26536","21642","17.65"
"女性","Female","123900","15399","17928","28496","24291","17891","12561","7334","15.13"
"中央各機關","CentralGovernmentAgency","185286","15961","21095","33174","37931","30391","23941","22793","17.81"
"行政機關","AdministrativeAgency","87018","10308","10180","18047","18976","12971","9771","6765","16.11"
"公營事業機構","PublicEnterpriseOrg.","70673","3323","5497","8947","12130","13437","12226","15113","21.20"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","18124","1818","4341","3700","4301","2418","977","569","13.67"
"公立學校(職員)","PublicSchool(Staff)","9471","512","1077","2480","2524","1565","967","346","16.06"
"臺灣各縣市機關","LocalCounty(City)Agency","108290","13358","10292","24449","27334","17890","10735","4232","15.37"
"行政機關","AdministrativeAgency","97704","12770","9205","21923","24819","15712","9352","3923","15.23"
"公營事業機構","PublicEnterpriseOrg.","91","12","6","13","23","8","14","15","18.32"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","282","69","88","46","30","26","19","4","10.50"
"公立學校(職員)","PublicSchool(Staff)","10213","507","993","2467","2462","2144","1350","290","16.78"
"臺北市各機關","TaipeiCityAgency","28208","3856","3890","6911","6210","3662","2480","1199","14.46"
"行政機關","AdministrativeAgency","20634","3232","2411","5132","4607","2569","1787","896","14.36"
"公營事業機構","PublicEnterpriseOrg.","1970","221","597","501","244","125","118","164","13.14"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2610","121","609","546","695","382","196","61","14.55"
"公立學校(職員)","PublicSchool(Staff)","2994","282","273","732","664","586","379","78","15.96"
"高雄市各機關","KaohsiungCityAgency","12142","972","1091","2080","3016","2650","1769","564","17.19"
"行政機關","AdministrativeAgency","9933","851","843","1681","2545","2176","1334","503","17.13"
"公營事業機構","PublicEnterpriseOrg.","88","8","11","23","12","15","12","7","16.23"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","921","60","114","190","215","164","160","18","16.53"
"公立學校(職員)","PublicSchool(Staff)","1200","53","123","186","244","295","263","36","18.21"
"資料來源：全國公務人力資料庫。","Source:AllCivilServantsDatabase."
