"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","335274","33953","2414","31539","105999","116381","74340","4601"
"男性","Male","211374","23409","1981","21428","54558","72093","57376","3938"
"女性","Female","123900","10544","433","10111","51441","44288","16964","663"
"中央各機關","CentralGovernmentAgency","185286","24838","2239","22599","67231","55355","33692","4170"
"行政機關","AdministrativeAgency","87018","16619","1828","14791","31560","23163","15325","351"
"公營事業機構","PublicEnterpriseOrg.","70673","5525","227","5298","22802","21999","16555","3792"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","18124","1380","165","1215","8515","7190","1022","17"
"公立學校(職員)","PublicSchool(Staff)","9471","1314","19","1295","4354","3003","790","10"
"臺灣各縣市機關","LocalCounty(City)Agency","108290","4965","74","4891","25400","45418","32211","296"
"行政機關","AdministrativeAgency","97704","4676","74","4602","21491","40515","30740","282"
"公營事業機構","PublicEnterpriseOrg.","91","5","－","5","32","32","22","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","282","11","－","11","137","118","16","－"
"公立學校(職員)","PublicSchool(Staff)","10213","273","－","273","3740","4753","1433","14"
"臺北市各機關","TaipeiCityAgency","28208","2968","77","2891","9458","10782","4946","54"
"行政機關","AdministrativeAgency","20634","2190","44","2146","6046","8109","4258","31"
"公營事業機構","PublicEnterpriseOrg.","1970","463","3","460","958","389","140","20"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2610","179","27","152","963","1206","261","1"
"公立學校(職員)","PublicSchool(Staff)","2994","136","3","133","1491","1078","287","2"
"高雄市各機關","KaohsiungCityAgency","12142","1095","22","1073","3561","4309","3164","13"
"行政機關","AdministrativeAgency","9933","908","16","892","2634","3437","2944","10"
"公營事業機構","PublicEnterpriseOrg.","88","6","－","6","32","33","17","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","921","94","5","89","333","416","75","3"
"公立學校(職員)","PublicSchool(Staff)","1200","87","1","86","562","423","128","－"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1348","87","2","85","349","517","327","68"
"行政機關","AdministrativeAgency","1133","76","2","74","291","449","265","52"
"公營事業機構","PublicEnterpriseOrg.","100","7","－","7","20","27","37","9"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","24","－","－","－","15","6","3","－"
"公立學校(職員)","PublicSchool(Staff)","91","4","－","4","23","35","22","7"
