"職系別","Series","統計 Grand Total","男性 Male","女性 Female","中央政府 Central Government Agency","地方政府 Local Government Agency"
"GrandTotal","Male","Female","CentralGovernmentAgency","LocalGovernmentAgency"
"總計","GrandTotal","335274","211374","123900","185286","149988"
"行政類","AdministrationType","129374","58002","71372","65066","64308"
"一般行政","GeneralAdministration","34363","13681","20682","15552","18811"
"一般民政","GeneralCivilAffairs","10331","6002","4329","472","9859"
"社會行政","SocialAdministration","5558","1621","3937","1189","4369"
"人事行政","PersonnelAdministration","8176","3486","4690","3990","4186"
"戶政","Population","4483","1313","3170","14","4469"
"原住民族行政","AboriginesAdministration","127","71","56","48","79"
"社會工作","Socialwork","588","41","547","108","480"
"勞工行政","LaborAdministration","720","296","424","347","373"
"文化行政","CulturalAdministration","423","149","274","134","289"
"教育行政","EducationalAdministration","2243","651","1592","904","1339"
"新聞","News","711","373","338","578","133"
"財稅行政","FinancialAdministration","11919","3346","8573","6479","5440"
"金融保險","FinancialInsurance","937","438","499","863","74"
"統計","Statistic","1144","335","809","843","301"
"會計","Accounting","9304","1890","7414","4851","4453"
"審計","Audit","587","289","298","587","－"
"司法行政","JudicialAdministration","7753","4298","3455","7753","－"
"矯正","Corrections","5580","4969","611","5580","－"
"法制","Constitution","1183","690","493","607","576"
"經建行政","EconomicAdministration","3323","2087","1236","1605","1718"
"企業管理","EnterpriseManagement","1855","1284","571","1732","123"
"工業行政","IndustrialAdministration","24","15","9","9","15"
"商業行政","BusinessAdministration","51","18","33","30","21"
"警察行政","PoliceAdministration","97","83","14","79","18"
"資料來源：全國公務人力資料庫。"
"Source：AllCivilServantsDatabase."
"表9全國公務人員人數按職系分(續)"
"單位：人","中華民國95年底"
"職系別Series","總計","性別","機關別"
"男性","女性","中央政府","地方政府"
"GrandTotal","Male","Female","CentralGovernmentAgency","LocalGovernmentAgency"
"衛生行政","HealthAdministration","1137","267","870","370","767"
"醫務管理","MedicalManagement","161","23","138","140","21"
"環保行政","EnvironmentAdministration","351","214","137","59","292"
"消防行政","FireAdministration","189","164","25","20","169"
"海巡行政","CoastGuardAdministration","255","201","54","255","－"
"地政","LandAdministration","4297","1947","2350","537","3760"
"博物館管理","MuseumManagement","53","24","29","31","22"
"圖書資訊管理","LibraryManagement","1081","190","891","661","420"
"檔案管理","ArchivesManagement","130","32","98","66","64"
"史料編簒","Historiography","46","19","27","44","2"
"安全保防","SecurityAdministration","2325","2054","271","2316","9"
"政風","Ethics","2197","1710","487","1242","955"
"情報行政","IntelligenceAdministration","－","－","－","－","－"
"交通行政","TransportationAdministration","974","622","352","466","508"
"技術類","TechniqueType","41576","33686","7890","28567","13009"
"農業技術","AgriculturalTechnique","1758","1261","497","1178","580"
"林業技術","ForestTechnique","935","636","299","819","116"
"水利工程","WaterResourcesEngineering","169","157","12","33","136"
"環境工程","EnvironmentalEngineering","234","202","32","119","115"
"建築工程","ArchitecturalEngineering","251","201","50","52","199"
"都市計畫技術","UrbanPlanningEngineering","193","127","66","66","127"
"水土保持工程","Soil&WaterConservationEngineering","125","111","14","101","24"
"機械工程","MechanicalEngineering","3271","3203","68","2717","554"
"電力工程","PowerEngineering","4960","4861","99","4439","521"
"電子工程","ElectronicEngineering","2257","2144","113","1865","392"
"電信工程","TelecommunicationEngineering","139","125","14","130","9"
"資訊處理","InformationProcessing","2892","1683","1209","2179","713"
"資料來源：全國公務人力資料庫。"
"Table9NumberofAllCivilServants,bySeries(Cont.)"
"Endof2006","Unit：Person"
"職系別Series","總計","性別","機關別"
"男性","女性","中央政府","地方政府"
"GrandTotal","Male","Female","CentralGovernmentAgency","LocalGovernmentAgency"
"物理","Physics","88","73","15","87","1"
"原子能","AtomicEnergy","1193","1123","70","1193","－"
"化學工程","ChemicalEngineering","1043","823","220","920","123"
"衛生檢驗","HealthInspection","616","220","396","454","162"
"環境檢驗","EnvironmentInspection","182","98","84","84","98"
"農畜水產品檢驗","AgricultureInspection","61","43","18","61","－"
"商品檢驗","CommodityInspection","215","172","43","215","－"
"地質","Geologic","92","78","14","91","1"
"礦冶材料","MineralMaterial","113","106","7","112","1"
"天文","Astronomy","20","18","2","6","14"
"氣象","Meteorology","468","378","90","468","－"
"技藝","Skill","381","247","134","324","57"
"視聽製作","AudiovisualManufacture","59","48","11","50","9"
"衛生技術","HealthTechnique","2335","504","1831","1336","999"
"消防技術","FireTechnique","160","155","5","35","125"
"海巡技術","CoastGuardTechnique","73","70","3","73","－"
"水產技術","FisheryTechnique","370","291","79","236","134"
"畜牧技術","PasturageTechnique","281","231","50","180","101"
"獸醫","Veterinarian","829","635","194","266","563"
"工業工程","IndustrialEngineer","552","501","51","391","161"
"工業安全","IndustrialSafety","24","23","1","19","5"
"醫學工程","MedicalEngineering","23","18","5","23","－"
"環保技術","EnvironmentTechnique","697","424","273","205","492"
"航空管制","AerialControl","334","182","152","334","－"
"航空駕駛","AerialPilot","53","52","1","53","－"
"船舶駕駛","MarinePilot","13","13","－","11","2"
"景觀設計","LandscapeDesign","19","12","7","7","12"
"生物技術","BiologicalTechnique","19","12","7","19","－"
"無職系","NoSeries","164324","119686","44638","91653","72671"
"Source：AllCivilServantsDatabase."
