"性別及機關別","Sex & Agency","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","男性 Male","女性 Female"
"總計","GrandTotal","335274","4454","16010","42356","64009","64077","62346","46285","25203","9124","1410","42.88","211374","123900"
"男性","Male","211374","3123","7222","25509","38811","39233","37776","32078","19105","7380","1137","43.65","",""
"女性","Female","123900","1331","8788","16847","25198","24844","24570","14207","6098","1744","273","41.55","",""
"中央各機關","CentralGovernmentAgency","185286","1095","7603","19874","29404","33228","35401","30424","19410","7584","1263","44.55","115965","69321"
"行政機關","AdministrativeAgency","87018","638","3941","12128","16836","16170","15661","11890","6569","2694","491","42.97","56751","30267"
"公營事業機構","PublicEnterpriseOrg.","70673","254","1577","3496","6392","11188","14740","15931","11741","4598","756","47.99","51390","19283"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","18124","182","1870","3367","4117","3511","2686","1452","720","207","12","39.63","4348","13776"
"公立學校(職員)","PublicSchool(Staff)","9471","21","215","883","2059","2359","2314","1151","380","85","4","42.80","3476","5995"
"臺灣各縣市機關","LocalCounty(City)Agency","108290","2854","5621","15651","26054","22981","19138","10923","3889","1071","108","40.68","70777","37513"
"行政機關","AdministrativeAgency","97704","2818","5361","14731","23802","20304","16389","9619","3571","1005","104","40.45","68893","28811"
"公營事業機構","PublicEnterpriseOrg.","91","－","4","9","7","18","14","17","15","6","1","46.76","60","31"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","282","3","36","61","48","50","39","31","11","3","－","39.48","91","191"
"公立學校(職員)","PublicSchool(Staff)","10213","33","220","850","2197","2609","2696","1256","292","57","3","42.80","1733","8480"
"臺北市各機關","TaipeiCityAgency","28208","411","2178","5256","5698","4936","4966","3169","1263","309","22","40.58","16019","12189"
"行政機關","AdministrativeAgency","20634","389","1750","4114","4095","3525","3373","2246","935","201","6","40.14","13467","7167"
"公營事業機構","PublicEnterpriseOrg.","1970","5","119","494","492","280","210","178","113","69","10","40.42","1450","520"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2610","3","190","402","518","503","545","311","112","23","3","41.41","586","2024"
"公立學校(職員)","PublicSchool(Staff)","2994","14","119","246","593","628","838","434","103","16","3","43.00","516","2478"
"高雄市各機關","KaohsiungCityAgency","12142","73","515","1355","2655","2733","2618","1513","548","122","10","42.27","7561","4581"
"行政機關","AdministrativeAgency","9933","66","480","1163","2258","2258","1957","1189","452","101","9","41.93","7032","2901"
"公營事業機構","PublicEnterpriseOrg.","88","1","2","5","11","13","15","29","7","5","－","46.82","60","28"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","921","3","14","106","190","197","231","118","50","11","1","43.19","250","671"
"公立學校(職員)","PublicSchool(Staff)","1200","3","19","81","196","265","415","177","39","5","－","44.02","219","981"
