"性別與機關別","Sex & Agency","總計 Grand Total","本機關內調動 Transfer in Original Agency 計 Total","調升 Promotion","平調 General","降調 Degrade","新進人員(人)  Newly-appointed Staff (Person) 計 Total","考試及及格分發 Assignment of Passing Examination","他機關調進 Transferred From Others","其他任用資格 Other Qualification","調至他機關 Transferred To Other Agency","辭職(人) Resignation (Person)"
"總計","GrandTotal","82885","39472","14821","23927","724","27266","8072","15234","3960","15820","327"
"男性","Male","55015","29029","8813","19665","551","16289","5157","9095","2037","9503","194"
"女性","Female","27870","10443","6008","4262","173","10977","2915","6139","1923","6317","133"
"中央各機關","CentralGovernmentAgency","35273","16759","8489","8115","155","11627","2936","6239","2452","6728","159"
"行政機關","AdministrativeAgency","21596","8420","4884","3461","75","7749","2365","4990","394","5314","113"
"公營事業機構","PublicEnterpriseOrg.","10042","7041","2606","4382","53","2439","504","397","1538","551","11"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1698","572","498","58","16","717","5","222","490","385","24"
"公立學校(職員)","PublicSchool(Staff)","1937","726","501","214","11","722","62","630","30","478","11"
"臺灣各縣市機關","LocalCounty(City)Agency","34403","16506","3981","12040","485","11234","3698","6337","1199","6542","121"
"行政機關","AdministrativeAgency","32421","16249","3847","11938","464","10216","3656","5434","1126","5839","117"
"公營事業機構","PublicEnterpriseOrg.","18","4","3","1","－","7","3","4","－","7","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","40","4","4","－","－","27","5","6","16","7","2"
"公立學校(職員)","PublicSchool(Staff)","1924","249","127","101","21","984","34","893","57","689","2"
"臺北市各機關","TaipeiCityAgency","9042","4424","1611","2746","67","2740","1107","1397","236","1848","30"
"行政機關","AdministrativeAgency","7582","3953","1368","2536","49","2150","1007","1030","113","1451","28"
"公營事業機構","PublicEnterpriseOrg.","314","195","106","85","4","96","4","22","70","22","1"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","218","43","22","18","3","55","20","18","17","119","1"
"公立學校(職員)","PublicSchool(Staff)","928","233","115","107","11","439","76","327","36","256","－"
"高雄市各機關","KaohsiungCityAgency","3793","1650","690","946","14","1507","275","1178","54","626","10"
"行政機關","AdministrativeAgency","3490","1507","589","908","10","1373","263","1071","39","604","6"
"公營事業機構","PublicEnterpriseOrg.","22","12","8","3","1","7","1","5","1","3","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","100","53","46","7","－","35","7","16","12","8","4"
"公立學校(職員)","PublicSchool(Staff)","181","78","47","28","3","92","4","86","2","11","－"
