"性別與機關別","Sex & Agency","總計 Grand Total","本機關內調動 Transfer in Original Agency 計 Total","調升 Promotion","平調 General","降調 Degrade","新進人員(人)  Newly-appointed Staff (Person) 計 Total","考試及及格分發 Assignment of Passing Examination","他機關調進 Transferred From Others","其他任用資格 Other Qualification","調至他機關 Transferred To Other Agency","辭職(人) Resignation (Person)"
"總計","GrandTotal","91692","44995","16227","28189","579","30224","9866","14160","6198","16099","374"
"男性","Male","61842","34832","10936","23478","418","17132","5899","8084","3149","9644","234"
"女性","Female","29850","10163","5291","4711","161","13092","3967","6076","3049","6455","140"
"中央各機關","CentralGovernmentAgency","42071","18982","8145","10730","107","15819","4293","6256","5270","7073","197"
"行政機關","AdministrativeAgency","23200","8279","4766","3463","50","8863","3315","5053","495","5926","132"
"公營事業機構","PublicEnterpriseOrg.","15634","9664","2606","7022","36","5569","879","370","4320","391","10"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1444","434","354","66","14","648","9","202","437","321","41"
"公立學校(職員)","PublicSchool(Staff)","1793","605","419","179","7","739","90","631","18","435","14"
"臺灣各縣市機關","LocalCounty(City)Agency","36866","20118","5954","13783","381","10077","3675","5742","660","6544","127"
"行政機關","AdministrativeAgency","34837","19838","5822","13654","362","9031","3614","4803","614","5846","122"
"公營事業機構","PublicEnterpriseOrg.","33","9","6","3","－","8","6","2","－","16","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","32","－","－","－","－","13","3","7","3","19","－"
"公立學校(職員)","PublicSchool(Staff)","1964","271","126","126","19","1025","52","930","43","663","5"
"臺北市各機關","TaipeiCityAgency","8561","3976","1486","2412","78","2770","1511","1091","168","1783","32"
"行政機關","AdministrativeAgency","7485","3638","1320","2263","55","2350","1426","812","112","1469","28"
"公營事業機構","PublicEnterpriseOrg.","133","52","32","18","2","62","5","23","34","17","2"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","184","65","50","10","5","58","18","21","19","60","1"
"公立學校(職員)","PublicSchool(Staff)","759","221","84","121","16","300","62","235","3","237","1"
"高雄市各機關","KaohsiungCityAgency","3726","1699","582","1108","9","1410","340","980","90","608","9"
"行政機關","AdministrativeAgency","3453","1580","512","1064","4","1269","306","896","67","596","8"
"公營事業機構","PublicEnterpriseOrg.","34","8","2","5","1","23","10","10","3","3","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","63","16","14","2","－","43","12","15","16","3","1"
"公立學校(職員)","PublicSchool(Staff)","176","95","54","37","4","75","12","59","4","6","－"
