"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","336842","37438","2487","34951","110211","114064","70889","4240"
"男性","Male","211350","25471","2029","23442","56188","71133","54907","3651"
"女性","Female","125492","11967","458","11509","54023","42931","15982","589"
"中央各機關","CentralGovernmentAgency","185960","27168","2286","24882","68886","53754","32305","3847"
"行政機關","AdministrativeAgency","88647","17914","1822","16092","32842","22856","14719","316"
"公營事業機構","PublicEnterpriseOrg.","69981","6234","249","5985","22976","21319","15947","3505"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17820","1552","191","1361","8652","6700","902","14"
"公立學校(職員)","PublicSchool(Staff)","9512","1468","24","1444","4416","2879","737","12"
"臺灣各縣市機關","LocalCounty(City)Agency","109275","5710","93","5617","27453","45251","30592","269"
"行政機關","AdministrativeAgency","98429","5338","93","5245","23291","40333","29209","258"
"公營事業機構","PublicEnterpriseOrg.","89","8","－","8","28","33","20","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","259","18","－","18","128","100","13","－"
"公立學校(職員)","PublicSchool(Staff)","10498","346","－","346","4006","4785","1350","11"
"臺北市各機關","TaipeiCityAgency","28051","3224","82","3142","9758","10359","4659","51"
"行政機關","AdministrativeAgency","20581","2384","52","2332","6321","7820","4027","29"
"公營事業機構","PublicEnterpriseOrg.","2013","495","3","492","987","383","130","18"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2457","185","24","161","933","1096","242","1"
"公立學校(職員)","PublicSchool(Staff)","3000","160","3","157","1517","1060","260","3"
"高雄市各機關","KaohsiungCityAgency","12194","1228","24","1204","3752","4191","3010","13"
"行政機關","AdministrativeAgency","9981","1019","19","1000","2782","3360","2810","10"
"公營事業機構","PublicEnterpriseOrg.","97","11","－","11","39","32","15","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","891","99","4","95","343","381","65","3"
"公立學校(職員)","PublicSchool(Staff)","1225","99","1","98","588","418","120","－"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1362","108","2","106","362","509","323","60"
"行政機關","AdministrativeAgency","1155","92","2","90","298","449","268","48"
"公營事業機構","PublicEnterpriseOrg.","91","9","－","9","23","23","30","6"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","22","－","－","－","14","6","2","－"
"公立學校(職員)","PublicSchool(Staff)","94","7","－","7","27","31","23","6"
"資料來源：全國公務人力資料庫。","Source：AllCivilServantsDatabase."
