"性別及機關別","Sex & Agency","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","男性 Male","女性 Female"
"總計","GrandTotal","336842","4883","18269","38037","62979","63383","63413","47551","27220","9711","1396","43.10","211350","125492"
"男性","Male","211350","3593","8963","22479","38093","38793","38147","32184","20297","7734","1067","43.81"
"女性","Female","125492","1290","9306","15558","24886","24590","25266","15367","6923","1977","329","41.90"
"中央各機關","CentralGovernmentAgency","185960","1011","8447","18374","28872","32868","35330","30912","20788","8123","1235","44.79","115592","70368"
"行政機關","AdministrativeAgency","88647","683","4600","11313","17181","16614","15877","12195","6900","2738","546","43.06","57121","31526"
"公營事業機構","PublicEnterpriseOrg.","69981","202","1846","3367","5614","10425","14155","15973","12676","5060","663","48.36","50784","19197"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17820","103","1768","2947","4088","3490","2903","1469","807","228","17","40.18","4242","13578"
"公立學校(職員)","PublicSchool(Staff)","9512","23","233","747","1989","2339","2395","1275","405","97","9","43.27","3445","6067"
"臺灣各縣市機關","LocalCounty(City)Agency","109275","3236","6875","13493","25737","22751","20261","11380","4362","1055","125","40.88","71191","38084"
"行政機關","AdministrativeAgency","98429","3211","6611","12703","23505","20040","17360","9903","3986","992","118","40.62","69283","29146"
"公營事業機構","PublicEnterpriseOrg.","89","2","3","7","10","12","19","15","13","8","－","46.33","60","29"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","259","1","19","59","51","44","39","32","12","2","－","40.47","87","172"
"公立學校(職員)","PublicSchool(Staff)","10498","22","242","724","2171","2655","2843","1430","351","53","7","43.22","1761","8737"
"臺北市各機關","TaipeiCityAgency","28051","539","2272","4676","5640","4903","4881","3369","1395","354","22","40.82","15977","12074"
"行政機關","AdministrativeAgency","20581","525","1910","3678","4025","3498","3338","2325","1028","246","8","40.27","13431","7150"
"公營事業機構","PublicEnterpriseOrg.","2013","3","98","447","557","291","228","193","115","68","13","40.83","1478","535"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2457","1","142","331","498","490","514","332","123","26","－","42.17","561","1896"
"公立學校(職員)","PublicSchool(Staff)","3000","10","122","220","560","624","801","519","129","14","1","43.45","507","2493"
"高雄市各機關","KaohsiungCityAgency","12194","80","584","1277","2534","2657","2733","1617","563","139","10","42.48","7536","4658"
"行政機關","AdministrativeAgency","9981","77","535","1109","2141","2203","2090","1247","458","112","9","42.13","7012","2969"
"公營事業機構","PublicEnterpriseOrg.","97","2","8","6","11","12","14","31","7","6","－","45.34","63","34"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","891","－","17","91","180","189","226","120","53","15","－","43.53","243","648"
"公立學校(職員)","PublicSchool(Staff)","1225","1","24","71","202","253","403","219","45","6","1","44.39","218","1007"
"資料來源：全國公務人力資料庫。","Source：AllCivilServantsDatabase."
