"機關別","Agency","總計 Grand Total","應銓敘(人) Qualification Should be Screened (person)","應銓敘(百分比) Qualification Should be Screened (%)","不必銓敘(人) Qualification Should not be Screened (person)","不必銓敘(百分比) Qualification Should not be Screened (%)"
"總計","GrandTotal","336842","270244","80.23","66598","19.77"
"行政機關","AdministrativeAgency","218793","215836","98.65","2957","1.35"
"公營事業機構","PublicEnterpriseOrg.","72271","8833","12.22","63438","87.78"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","21449","21288","99.25","161","0.75"
"公立學校(職員)","PublicSchool(Staff)","24329","24287","99.83","42","0.17"
"中央各機關","CentralGovernmentAgency","185960","121329","65.24","64631","34.76"
"行政機關","AdministrativeAgency","88647","86974","98.11","1673","1.89"
"公營事業機構","PublicEnterpriseOrg.","69981","7180","10.26","62801","89.74"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17820","17693","99.29","127","0.71"
"公立學校(職員)","PublicSchool(Staff)","9512","9482","99.68","30","0.32"
"臺灣各縣市機關","LocalCounty(City)Agency","109275","108161","98.98","1114","1.02"
"行政機關","AdministrativeAgency","98429","97362","98.92","1067","1.08"
"公營事業機構","PublicEnterpriseOrg.","89","52","58.43","37","41.57"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","259","257","99.23","2","0.77"
"公立學校(職員)","PublicSchool(Staff)","10498","10490","99.92","8","0.08"
"臺北市各機關","TaipeiCityAgency","28051","27297","97.31","754","2.69"
"行政機關","AdministrativeAgency","20581","20447","99.35","134","0.65"
"公營事業機構","PublicEnterpriseOrg.","2013","1416","70.34","597","29.66"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2457","2436","99.15","21","0.85"
"公立學校(職員)","PublicSchool(Staff)","3000","2998","99.93","2","0.07"
"高雄市各機關","KaohsiungCityAgency","12194","12113","99.34","81","0.66"
"行政機關","AdministrativeAgency","9981","9915","99.34","66","0.66"
"公營事業機構","PublicEnterpriseOrg.","97","94","96.91","3","3.09"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","891","880","98.77","11","1.23"
"公立學校(職員)","PublicSchool(Staff)","1225","1224","99.92","1","0.08"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1362","1344","98.68","18","1.32"
"行政機關","AdministrativeAgency","1155","1138","98.53","17","1.47"
"公營事業機構","PublicEnterpriseOrg.","91","91","100.00","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","22","22","100.00","－","－"
"公立學校(職員)","PublicSchool(Staff)","94","93","98.94","1","1.06"
