"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","336842","273263","42155","20631","3330","142779","60408","3960","63579"
"男性","Male","211350","173930","17111","5367","1007","111874","37430","1141","37420"
"女性","Female","125492","99333","25044","15264","2323","30905","22978","2819","26159"
"中央各機關","CentralGovernmentAgency","185960","140730","28567","10689","1368","60387","37795","1924","45230"
"行政機關","AdministrativeAgency","88647","79121","16689","3525","626","39392","17560","1329","9526"
"公營事業機構","PublicEnterpriseOrg.","69981","43685","3790","2943","528","17837","18263","324","26296"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17820","10007","6004","2695","4","621","641","42","7813"
"公立學校(職員)","PublicSchool(Staff)","9512","7917","2084","1526","210","2537","1331","229","1595"
"臺灣各縣市機關","LocalCounty(City)Agency","109275","98233","7947","6429","1226","64476","17047","1108","11042"
"行政機關","AdministrativeAgency","98429","89205","6042","4738","1209","61174","15252","790","9224"
"公營事業機構","PublicEnterpriseOrg.","89","72","4","2","－","47","18","1","17"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","259","130","85","21","－","17","7","－","129"
"公立學校(職員)","PublicSchool(Staff)","10498","8826","1816","1668","17","3238","1770","317","1672"
"臺北市各機關","TaipeiCityAgency","28051","22299","4041","2523","476","11560","3224","475","5752"
"行政機關","AdministrativeAgency","20581","17832","2551","1363","424","10706","2505","283","2749"
"公營事業機構","PublicEnterpriseOrg.","2013","530","225","59","1","95","99","51","1483"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2457","1273","655","502","1","53","57","5","1184"
"公立學校(職員)","PublicSchool(Staff)","3000","2664","610","599","50","706","563","136","336"
"高雄市各機關","KaohsiungCityAgency","12194","10788","1529","971","252","5815","1987","234","1406"
"行政機關","AdministrativeAgency","9981","9175","1057","627","230","5528","1594","139","806"
"公營事業機構","PublicEnterpriseOrg.","97","71","15","11","5","29","11","－","26"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","891","451","228","123","－","43","54","3","440"
"公立學校(職員)","PublicSchool(Staff)","1225","1091","229","210","17","215","328","92","134"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1362","1213","71","19","8","541","355","219","149"
"行政機關","AdministrativeAgency","1155","1046","57","15","8","505","298","163","109"
"公營事業機構","PublicEnterpriseOrg.","91","76","3","－","－","18","21","34","15"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","22","8","4","1","－","－","3","－","14"
"公立學校(職員)","PublicSchool(Staff)","94","83","7","3","－","18","33","22","11"
