"官等別","Rank","總計 Grand Total","中央各機關 Central Government Agency","臺灣各縣市機關 Local County(City) Agency","新北市各機關 New Taipei City Agency","台北市各機關 Taipei City Agency","臺中市各機關 Taichung City Agency","臺南市各機關 Tainan City Agency","高雄市各機關 Kaohsiung City Agency","金門縣,連江縣各機關 Kinmen & Lienchiang County Agency"
"總計","GrandTotal","343861","187670","64204","18465","26089","15298","11503","19234","1398"
"民選首長","ElectedChief","235","2","216","1","1","1","1","1","12"
"總統、副總統","President&VicePresident","2","2","－","－","－","－","－","－","－"
"直轄市長","Mayor","5","－","－","1","1","1","1","1","－"
"縣(市)長","Magistrate","17","－","15","－","－","－","－","－","2"
"鄉(鎮、市)長","Alcalde","211","－","201","－","－","－","－","－","10"
"政務人員","PoliticalAppointee","455","219","107","26","26","25","22","22","8"
"特任(派)","SpeciallyAppointmentRank","152","152","－","－","－","－","－","－","－"
"比照簡任十四職等","EquivalenttoGrade14","64","49","2","3","2","3","2","3","－"
"比照簡任十三職等","EquivalenttoGrade13","161","18","33","23","24","22","20","19","2"
"比照簡任十二職等","EquivalenttoGrade12","78","－","72","－","－","－","－","－","6"
"簡薦委任(派)人員","RankingServant","179589","89178","38255","10005","15285","8146","6733","11045","942"
"簡任","SeniorRank","8195","6769","487","144","246","156","124","222","47"
"簡派","SeniorDetail","244","185","－","－","55","－","－","4","－"
"薦任","JuniorRank","106479","50917","23962","6142","8161","5273","4400","7090","534"
"薦派","JuniorDetail","2420","1414","3","2","893","－","－","107","1"
"委任","ElementaryRank","59662","28067","13465","3675","5697","2662","2187","3554","355"
"委派","ElementaryDetail","689","526","－","－","137","－","－","25","1"
"雇員","AuxiliaryEmployee","1900","1300","338","42","96","55","22","43","4"
"法官、檢察官","Judge,Prosecutor","3118","3118","－","－","－","－","－","－","－"
"表2全國公務人員人數按官等分(續)","Table2NumberofAllCivilServants,byRank(Cont.)"
"單位：人","中華民國101年底","Endof2012","Unit：Person"
"官等別Rank","總計","中央各機關","臺灣各縣市機關","新北市各機關","臺北市各機關","臺中市各機關","臺南市各機關","高雄市各機關","金門連江縣各機關"
"GrandTotal","CentralGovernmentAgency","LocalCounty(City)Agency","NewTaipeiCityAgency","TaipeiCityAgency","TaichungCityAgency","TainanCityAgency","KaohsiungCityAgency","Kinmen&LienchiangCountyAgency"
"分類職位人員","CategorizedPositionPersonnel","22444","21879","14","－","551","－","－","－","－"
"13職等6級以上(12至14職等)","Grade13,Level6&Over(Grade12to14)","750","740","－","－","10","－","－","－","－"
"7至13職等5級(8至11職等)","Grade7to13,underLevel5(Grade8to11)","17100","16615","7","－","478","－","－","－","－"
"1至6職等(3至7職等)","Grade1to6(Grade3to7)","4594","4524","7","－","63","－","－","－","－"
"資位人員","RankPersonnel","29882","29882","－","－","－","－","－","－","－"
"長級","SeniorLevel","78","78","－","－","－","－","－","－","－"
"副長級","Sub-seniorLevel","630","630","－","－","－","－","－","－","－"
"高員級","JuniorLevel","5099","5099","－","－","－","－","－","－","－"
"員級","ElementaryLevel","6011","6011","－","－","－","－","－","－","－"
"佐級","AssistantLevel","14132","14132","－","－","－","－","－","－","－"
"士級","BasicLevel","3932","3932","－","－","－","－","－","－","－"
"金融人員","FinancialPersonnel","15013","15013","－","－","－","－","－","－","－"
"14(13)職等以上","Grade14(13)&over","217","217","－","－","－","－","－","－","－"
"8至13(8至12)職等","Grade8to13(Grade8to12)","11231","11231","－","－","－","－","－","－","－"
"6職等至7職等","Grade6to7","2788","2788","－","－","－","－","－","－","－"
"5職等","Grade5","777","777","－","－","－","－","－","－","－"
"醫事人員","MedicalPersonnel","16751","14394","41","185","1632","－","－","474","25"
"師(一)級","SeniorGrade1","413","382","1","3","14","－","－","12","1"
"師(二)級","SeniorGrade2","2654","2241","6","27","256","－","－","122","2"
"師(三)級","SeniorGrade3","8263","6923","23","93","1004","－","－","206","14"
"士(生)級","Junior","5421","4848","11","62","358","－","－","134","8"
