"性別與機關別","Sex & Agency","總計 Grand Total","本機關內調動 Transfer in Original Agency 計 Total","調升 Promotion","平調 General","降調 Degrade","新進人員(人)  Newly-appointed Staff (Person) 計 Total","考試及及格分發 Assignment of Passing Examination","他機關調進 Transferred From Others","其他任用資格 Other Qualification","調至他機關 Transferred To Other Agency","辭職(人) Resignation (Person)"
"總計","GrandTotal","71300","34286","12182","21596","508","23047","6817","13142","3088","13622","345"
"男性","Male","43505","24313","6850","17138","325","11896","3523","6839","1534","7138","158"
"女性","Female","27795","9973","5332","4458","183","11151","3294","6303","1554","6484","187"
"中央各機關","CentralGovernmentAgency","31728","16068","6762","9209","97","10032","2127","5554","2351","5437","191"
"行政機關","AdministrativeAgency","18217","7365","3757","3562","46","6449","1586","4471","392","4314","89"
"公營事業機構","PublicEnterpriseOrg.","9820","7341","1961","5349","31","1967","456","354","1157","474","38"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2001","767","704","55","8","934","13","153","768","247","53"
"公立學校(職員)","PublicSchool(Staff)","1690","595","340","243","12","682","72","576","34","402","11"
"臺灣各縣市機關","LocalCounty(City)Agency","15660","7319","2022","5098","199","5099","1576","3160","363","3177","65"
"行政機關","AdministrativeAgency","14044","7095","1927","4980","188","4220","1516","2397","307","2667","62"
"公營事業機構","PublicEnterpriseOrg.","20","1","1","－","－","9","1","8","－","10","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","11","2","2","－","－","6","－","3","3","3","－"
"公立學校(職員)","PublicSchool(Staff)","1585","221","92","118","11","864","59","752","53","497","3"
"新北市各機關","NewTaipeiCityAgency","6213","2669","761","1850","58","2130","1251","797","82","1392","22"
"行政機關","AdministrativeAgency","5747","2599","734","1813","52","1882","1216","605","61","1248","18"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","26","1","1","－","－","17","2","6","9","6","2"
"公立學校(職員)","PublicSchool(Staff)","440","69","26","37","6","231","33","186","12","138","2"
"臺北市各機關","TaipeiCityAgency","6197","3155","1123","1973","59","1845","801","890","154","1165","32"
"行政機關","AdministrativeAgency","5168","2809","1020","1750","39","1399","718","616","65","937","23"
"公營事業機構","PublicEnterpriseOrg.","225","124","15","106","3","89","28","6","55","10","2"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","78","16","12","4","－","38","7","13","18","23","1"
"公立學校(職員)","PublicSchool(Staff)","726","206","76","113","17","319","48","255","16","195","6"
"臺中市各機關","TaichungCityAgency","3765","1889","491","1359","39","1232","416","762","54","636","8"
"行政機關","AdministrativeAgency","3432","1845","471","1338","36","1031","389","593","49","549","7"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","333","44","20","21","3","201","27","169","5","87","1"
"臺南市各機關","TainanCityAgency","2457","1014","308","681","25","862","160","655","47","574","7"
"行政機關","AdministrativeAgency","2002","967","278","665","24","597","155","396","46","431","7"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","455","47","30","16","1","265","5","259","1","143","－"
"高雄市各機關","KaohsiungCityAgency","4963","2031","671","1337","23","1745","454","1258","33","1170","17"
"行政機關","AdministrativeAgency","4477","1956","617","1318","21","1495","372","1097","26","1011","15"
"公營事業機構","PublicEnterpriseOrg.","27","3","2","1","－","17","9","8","－","7","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","74","20","16","4","－","20","10","6","4","34","－"
"公立學校(職員)","PublicSchool(Staff)","385","52","36","14","2","213","63","147","3","118","2"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","317","141","44","89","8","102","32","66","4","71","3"
"行政機關","AdministrativeAgency","281","132","38","88","6","88","30","54","4","58","3"
"公營事業機構","PublicEnterpriseOrg.","17","7","5","1","1","3","1","2","－","7","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2","－","－","－","－","2","－","2","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","17","2","1","－","1","9","1","8","－","6","－"
