"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","343861","290278","53259","19418","5130","143075","67430","1966","53583"
"男性","Male","206784","175620","20784","5312","1500","105747","41604","673","31164"
"女性","Female","137077","114658","32475","14106","3630","37328","25826","1293","22419"
"中央各機關","CentralGovernmentAgency","187670","146661","33941","10124","2129","59165","40217","1085","41009"
"行政機關","AdministrativeAgency","92821","84948","20318","3337","1014","39001","20817","461","7873"
"公營事業機構","PublicEnterpriseOrg.","68223","42690","4022","3120","730","17279","17048","491","25533"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16939","10519","6997","2427","9","533","529","24","6420"
"公立學校(職員)","PublicSchool(Staff)","9687","8504","2604","1240","376","2352","1823","109","1183"
"臺灣各縣市機關","LocalCounty(City)Agency","64204","58584","6096","3246","1039","35877","12054","272","5620"
"行政機關","AdministrativeAgency","57201","52551","4603","2304","990","33796","10676","182","4650"
"公營事業機構","PublicEnterpriseOrg.","73","57","5","2","－","29","20","1","16"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","51","26","15","3","－","5","3","－","25"
"公立學校(職員)","PublicSchool(Staff)","6879","5950","1473","937","49","2047","1355","89","929"
"新北市各機關","NewTaipeiCityAgency","18465","17637","2567","991","298","11157","2578","46","828"
"行政機關","AdministrativeAgency","16564","15943","2019","731","282","10613","2277","21","621"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","208","127","95","15","－","11","6","－","81"
"公立學校(職員)","PublicSchool(Staff)","1693","1567","453","245","16","533","295","25","126"
"臺北市各機關","TaipeiCityAgency","26089","22848","4343","2178","534","12325","3232","236","3241"
"行政機關","AdministrativeAgency","20574","18486","2773","1207","437","11337","2606","126","2088"
"公營事業機構","PublicEnterpriseOrg.","657","539","243","59","3","106","84","44","118"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1871","1086","618","376","1","59","30","2","785"
"公立學校(職員)","PublicSchool(Staff)","2987","2737","709","536","93","823","512","64","250"
"臺中市各機關","TaichungCityAgency","15298","14529","2087","932","295","8392","2766","57","769"
"行政機關","AdministrativeAgency","13749","13122","1605","708","282","8014","2482","31","627"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1549","1407","482","224","13","378","284","26","142"
"臺南市各機關","TainanCityAgency","11503","10794","1456","770","301","6002","2212","53","709"
"行政機關","AdministrativeAgency","10310","9704","1132","566","287","5692","1999","28","606"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1193","1090","324","204","14","310","213","25","103"
"高雄市各機關","KaohsiungCityAgency","19234","17960","2682","1148","527","9561","3970","72","1274"
"行政機關","AdministrativeAgency","16526","15691","1985","816","479","9003","3369","39","835"
"公營事業機構","PublicEnterpriseOrg.","88","78","14","12","6","32","14","－","10"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","579","325","197","59","4","28","36","1","254"
"公立學校(職員)","PublicSchool(Staff)","2041","1866","486","261","38","498","551","32","175"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1398","1265","87","29","7","596","401","145","133"
"行政機關","AdministrativeAgency","1168","1065","62","21","7","550","322","103","103"
"公營事業機構","PublicEnterpriseOrg.","96","81","5","1","－","25","24","26","15"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","28","17","9","4","－","－","4","－","11"
"公立學校(職員)","PublicSchool(Staff)","106","102","11","3","－","21","51","16","4"
