"機關別","Agency","總計 Grand Total","應銓敘(人) Qualification Should be Screened (person)","應銓敘(百分比) Qualification Should be Screened (%)","不必銓敘(人) Qualification Should not be Screened (person)","不必銓敘(百分比) Qualification Should not be Screened (%)"
"總計","GrandTotal","343861","279739","81.35","64122","18.65"
"行政機關","AdministrativeAgency","228913","226493","98.94","2420","1.06"
"公營事業機構","PublicEnterpriseOrg.","69137","7551","10.92","61586","89.08"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","19676","19574","99.48","102","0.52"
"公立學校(職員)","PublicSchool(Staff)","26135","26121","99.95","14","0.05"
"中央各機關","CentralGovernmentAgency","187670","125182","66.70","62488","33.30"
"行政機關","AdministrativeAgency","92821","91441","98.51","1380","1.49"
"公營事業機構","PublicEnterpriseOrg.","68223","7208","10.57","61015","89.43"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16939","16854","99.50","85","0.50"
"公立學校(職員)","PublicSchool(Staff)","9687","9679","99.92","8","0.08"
"臺灣各縣市機關","LocalCounty(City)Agency","64204","63529","98.95","675","1.05"
"行政機關","AdministrativeAgency","57201","56545","98.85","656","1.15"
"公營事業機構","PublicEnterpriseOrg.","73","57","78.08","16","21.92"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","51","51","100.00","－","－"
"公立學校(職員)","PublicSchool(Staff)","6879","6876","99.96","3","0.04"
"新北市各機關","NewTaipeiCityAgency","18465","18396","99.63","69","0.37"
"行政機關","AdministrativeAgency","16564","16496","99.59","68","0.41"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","208","207","99.52","1","0.48"
"公立學校(職員)","PublicSchool(Staff)","1693","1693","100.00","－","－"
"臺北市各機關","TaipeiCityAgency","26089","25415","97.42","674","2.58"
"行政機關","AdministrativeAgency","20574","20470","99.49","104","0.51"
"公營事業機構","PublicEnterpriseOrg.","657","104","15.83","553","84.17"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1871","1856","99.20","15","0.80"
"公立學校(職員)","PublicSchool(Staff)","2987","2985","99.93","2","0.07"
"臺中市各機關","TaichungCityAgency","15298","15217","99.47","81","0.53"
"行政機關","AdministrativeAgency","13749","13668","99.41","81","0.59"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1549","1549","100.00","－","－"
"臺南市各機關","TainanCityAgency","11503","11458","99.61","45","0.39"
"行政機關","AdministrativeAgency","10310","10265","99.56","45","0.44"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1193","1193","100.00","－","－"
"高雄市各機關","KaohsiungCityAgency","19234","19168","99.66","66","0.34"
"行政機關","AdministrativeAgency","16526","16463","99.62","63","0.38"
"公營事業機構","PublicEnterpriseOrg.","88","86","97.73","2","2.27"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","579","578","99.83","1","0.17"
"公立學校(職員)","PublicSchool(Staff)","2041","2041","100.00","－","－"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1398","1374","98.28","24","1.72"
"行政機關","AdministrativeAgency","1168","1145","98.03","23","1.97"
"公營事業機構","PublicEnterpriseOrg.","96","96","100.00","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","28","28","100.00","－","－"
"公立學校(職員)","PublicSchool(Staff)","106","105","99.06","1","0.94"
