"性別及機關別","Sex & Agency","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15-20年 Years","20-25年 Years","25-30年 Years","30年以上 30 Years & Over","平均年資(年) Average Seniority(Year)"
"總計","GrandTotal","343861","61956","39360","34155","57149","76115","37206","37920","16.71"
"男性","Male","206784","33888","22111","17221","32207","49339","25530","26488","17.69"
"女性","Female","137077","28068","17249","16934","24942","26776","11676","11432","15.21"
"中央各機關","CentralGovernmentAgency","187670","29533","20750","19730","28595","39813","21092","28157","17.77"
"行政機關","AdministrativeAgency","92821","15743","12507","10195","16248","20173","9184","8771","16.22"
"公營事業機構","PublicEnterpriseOrg.","68223","10291","5357","5136","6972","13051","9403","18013","20.53"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16939","2402","2026","3197","3163","3871","1466","814","15.52"
"公立學校(職員)","PublicSchool(Staff)","9687","1097","860","1202","2212","2718","1039","559","17.16"
"臺灣各縣市機關","LocalCounty(City)Agency","64204","11860","7252","5770","12514","16001","6853","3954","15.98"
"行政機關","AdministrativeAgency","57201","11188","6556","4840","10707","14204","6159","3547","15.84"
"公營事業機構","PublicEnterpriseOrg.","73","8","6","5","16","17","5","16","20.01"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","51","12","5","15","5","6","2","6","13.59"
"公立學校(職員)","PublicSchool(Staff)","6879","652","685","910","1786","1774","687","385","17.06"
"新北市各機關","NewTaipeiCityAgency","18465","6906","2558","1507","2689","2854","1187","764","11.53"
"行政機關","AdministrativeAgency","16564","6663","2349","1218","2200","2419","1016","699","11.04"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","208","47","31","52","40","23","13","2","12.02"
"公立學校(職員)","PublicSchool(Staff)","1693","196","178","237","449","412","158","63","16.26"
"臺北市各機關","TaipeiCityAgency","26089","5878","3165","2611","4622","5728","2403","1682","14.97"
"行政機關","AdministrativeAgency","20574","5416","2687","1759","3404","4318","1735","1255","14.20"
"公營事業機構","PublicEnterpriseOrg.","657","30","55","82","122","83","106","179","21.89"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1871","60","85","439","418","553","216","100","18.45"
"公立學校(職員)","PublicSchool(Staff)","2987","372","338","331","678","774","346","148","16.62"
"臺中市各機關","TaichungCityAgency","15298","2737","2213","1249","3085","3572","1589","853","15.52"
"行政機關","AdministrativeAgency","13749","2588","2028","1028","2718","3181","1434","772","15.38"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1549","149","185","221","367","391","155","81","16.75"
"臺南市各機關","TainanCityAgency","11503","1741","1211","1182","2181","3063","1375","750","16.77"
"行政機關","AdministrativeAgency","10310","1680","1095","1006","1867","2729","1257","676","16.64"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1193","61","116","176","314","334","118","74","17.87"
"高雄市各機關","KaohsiungCityAgency","19234","3101","2062","1983","3210","4836","2542","1500","16.84"
"行政機關","AdministrativeAgency","16526","2761","1756","1624","2644","4192","2229","1320","16.86"
"公營事業機構","PublicEnterpriseOrg.","88","27","11","10","20","11","6","3","12.44"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","579","50","53","80","115","165","82","34","17.95"
"公立學校(職員)","PublicSchool(Staff)","2041","263","242","269","431","468","225","143","16.49"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1398","200","149","123","253","248","165","260","18.75"
"行政機關","AdministrativeAgency","1168","179","120","101","220","200","132","216","18.59"
"公營事業機構","PublicEnterpriseOrg.","96","13","9","9","9","22","15","19","19.64"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","28","4","11","5","2","2","3","1","11.79"
"公立學校(職員)","PublicSchool(Staff)","106","4","9","8","22","24","15","24","21.57"
