"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","343861","61202","3593","57609","136508","95682","48060","2409"
"男性","Male","206784","38404","2860","35544","66113","62552","37588","2127"
"女性","Female","137077","22798","733","22065","70395","33130","10472","282"
"中央各機關","CentralGovernmentAgency","187670","41662","3181","38481","78629","41846","23375","2158"
"行政機關","AdministrativeAgency","92821","25953","2380","23573","38188","18431","10100","149"
"公營事業機構","PublicEnterpriseOrg.","68223","10861","398","10463","25940","17085","12345","1992"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16939","2593","342","2251","9676","4197","465","8"
"公立學校(職員)","PublicSchool(Staff)","9687","2255","61","2194","4825","2133","465","9"
"臺灣各縣市機關","LocalCounty(City)Agency","64204","6217","85","6132","22359","23861","11647","120"
"行政機關","AdministrativeAgency","57201","5736","81","5655","19175","21103","11068","119"
"公營事業機構","PublicEnterpriseOrg.","73","6","1","5","20","34","13","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","51","11","－","11","27","11","2","－"
"公立學校(職員)","PublicSchool(Staff)","6879","464","3","461","3137","2713","564","1"
"新北市各機關","NewTaipeiCityAgency","18465","2532","52","2480","7523","6318","2076","16"
"行政機關","AdministrativeAgency","16564","2336","46","2290","6501","5727","1985","15"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","208","26","5","21","119","58","5","－"
"公立學校(職員)","PublicSchool(Staff)","1693","170","1","169","903","533","86","1"
"臺北市各機關","TaipeiCityAgency","26089","4289","120","4169","10309","8494","2976","21"
"行政機關","AdministrativeAgency","20574","3442","82","3360","7657","6836","2622","17"
"公營事業機構","PublicEnterpriseOrg.","657","255","2","253","230","127","44","1"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1871","248","34","214","791","698","133","1"
"公立學校(職員)","PublicSchool(Staff)","2987","344","2","342","1631","833","177","2"
"資料來源：全國公務人力資料庫。","Source：AllCivilServantsDatabase."
"表4全國公務人員人數按教育程度分(續)","Table4NumberofAllCivilServants,byEducationalAttainment(Cont.)"
"單位：人","中華民國101年底","Endof2012","Unit：Person"
"性別及機關別Sex&Agency","總計","研究所Graduate","School","大學","專科","高中(高職)","國中初中初職以下"
"計","博士","碩士"
"GrandTotal","Total","Ph.D.Degree","M.A.Degree","University","College","High(Vocational)School","JuniorHighSchool&Under"
"臺中市各機關","TaichungCityAgency","15298","1951","50","1901","5479","5576","2260","32"
"行政機關","AdministrativeAgency","13749","1773","49","1724","4632","5107","2205","32"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1549","178","1","177","847","469","55","－"
"臺南市各機關","TainanCityAgency","11503","1440","39","1401","4461","3579","2015","8"
"行政機關","AdministrativeAgency","10310","1352","39","1313","3789","3217","1946","6"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1193","88","－","88","672","362","69","2"
"高雄市各機關","KaohsiungCityAgency","19234","2891","64","2827","7270","5585","3470","18"
"行政機關","AdministrativeAgency","16526","2492","53","2439","5832","4877","3308","17"
"公營事業機構","PublicEnterpriseOrg.","88","19","1","18","45","15","9","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","579","123","8","115","289","148","19","－"
"公立學校(職員)","PublicSchool(Staff)","2041","257","2","255","1104","545","134","1"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1398","220","2","218","478","423","241","36"
"行政機關","AdministrativeAgency","1168","190","2","188","382","372","195","29"
"公營事業機構","PublicEnterpriseOrg.","96","13","－","13","37","20","21","5"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","28","3","－","3","18","5","2","－"
"公立學校(職員)","PublicSchool(Staff)","106","14","－","14","41","26","23","2"
