"性別及機關別","Sex & Agency","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","男性 Male","女性 Female"
"總計","GrandTotal","340106","5121","24982","34209","51521","66415","63946","49545","30369","13472","526","43.42","208260","131846"
"男性","Male","208260","3705","13065","18136","31065","40489","38694","30656","21677","10345","428","44.10","",""
"女性","Female","131846","1416","11917","16073","20456","25926","25252","18889","8692","3127","98","42.33","",""
"中央各機關","CentralGovernmentAgency","186381","907","11271","17518","24966","32381","34297","30874","22534","11205","428","45.06","113207","73174"
"行政機關","AdministrativeAgency","93060","650","6466","9946","15653","18662","16882","13114","7740","3664","283","43.35","57003","36057"
"公營事業機構","PublicEnterpriseOrg.","66635","193","3206","4465","4670","7524","11743","14291","13333","7078","132","48.43","48625","18010"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17084","16","1258","2489","3272","3819","3246","1757","901","314","12","41.64","4140","12944"
"公立學校(職員)","PublicSchool(Staff)","9602","48","341","618","1371","2376","2426","1712","560","149","1","44.26","3439","6163"
"臺灣各縣市機關","LocalCounty(City)Agency","112333","3300","10099","11617","19488","25938","22051","13028","5265","1480","67","41.29","70849","41484"
"行政機關","AdministrativeAgency","100553","3279","9768","10715","17733","22941","18882","11060","4725","1386","64","40.98","68711","31842"
"公營事業機構","PublicEnterpriseOrg.","85","－","5","8","2","11","18","13","17","10","1","48.35","56","29"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","249","－","10","56","46","43","42","30","19","3","－","41.73","79","170"
"公立學校(職員)","PublicSchool(Staff)","11446","21","316","838","1707","2943","3109","1925","504","81","2","43.93","2003","9443"
"臺北市各機關","TaipeiCityAgency","27956","807","2808","3729","4937","5094","4657","3646","1699","561","18","41.19","15861","12095"
"行政機關","AdministrativeAgency","20534","790","2519","2931","3495","3483","3197","2506","1202","398","13","40.43","13059","7475"
"公營事業機構","PublicEnterpriseOrg.","2370","3","140","367","703","473","260","191","147","81","5","41.09","1779","591"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2080","2","31","206","343","483","481","331","155","48","－","44.26","495","1585"
"公立學校(職員)","PublicSchool(Staff)","2972","12","118","225","396","655","719","618","195","34","－","44.45","528","2444"
"高雄市各機關","KaohsiungCityAgency","12026","96","712","1178","1884","2804","2740","1743","692","169","8","42.95","7287","4739"
"行政機關","AdministrativeAgency","10023","85","649","1040","1592","2386","2226","1326","568","145","6","42.62","6814","3209"
"公營事業機構","PublicEnterpriseOrg.","94","3","12","5","10","18","12","16","14","3","1","43.86","58","36"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","681","2","12","44","108","144","192","113","52","13","1","44.93","199","482"
"公立學校(職員)","PublicSchool(Staff)","1228","6","39","89","174","256","310","288","58","8","－","44.46","216","1012"
