"職系別","Series","統計 Grand Total","男性 Male","女性 Female","中央政府 Central Government Agency","地方政府 Local Government Agency"
"總計","GrandTotal","340106","208260","131846","186381","153725"
"行政類","AdministrationType","136313","58118","78195","70343","65970"
"一般行政","GeneralAdministration","34735","13095","21640","15098","19637"
"一般民政","GeneralCivilAffairs","9201","4973","4228","420","8781"
"社會行政","SocialAdministration","4532","1389","3143","1129","3403"
"人事行政","PersonnelAdministration","8581","3271","5310","3993","4588"
"戶政","Population","7178","2858","4320","1884","5294"
"原住民族行政","AboriginesAdministration","203","102","101","46","157"
"社會工作","Socialwork","932","70","862","137","795"
"勞工行政","LaborAdministration","859","336","523","362","497"
"文化行政","CulturalAdministration","523","170","353","189","334"
"教育行政","EducationalAdministration","2404","636","1768","978","1426"
"新聞","News","658","324","334","530","128"
"財稅行政","FinancialAdministration","12012","3085","8927","6585","5427"
"金融保險","FinancialInsurance","1340","511","829","1254","86"
"統計","Statistic","1147","355","792","847","300"
"會計","Accounting","9333","1719","7614","4563","4770"
"審計","Audit","600","267","333","600","－"
"司法行政","JudicialAdministration","10253","4985","5268","10252","1"
"矯正","Corrections","5799","5154","645","5799","－"
"法制","Constitution","1248","708","540","649","599"
"經建行政","EconomicAdministration","3179","1928","1251","1589","1590"
"企業管理","EnterpriseManagement","1733","1134","599","1620","113"
"工業行政","IndustrialAdministration","44","29","15","9","35"
"商業行政","BusinessAdministration","202","94","108","41","161"
"農業行政","AgriculturalAdministration","880","527","353","472","408"
"智慧財產行政","IntelligencePropertyAdministration","57","17","40","57","－"
"消費者保護","ConsumerProtection","10","8","2","－","10"
"外交事務","ForeignAffairs","1051","767","284","1051","－"
"僑務行政","OverseasCompatriotAdministration","194","88","106","194","－"
"審檢","AuditProsecution","3131","1927","1204","3131","－"
"警察行政","PoliceAdministration","94","81","13","76","18"
"衛生行政","HealthAdministration","1511","277","1234","854","657"
"醫務管理","MedicalManagement","158","26","132","121","37"
"環保行政","EnvironmentAdministration","595","335","260","134","461"
"消防行政","FireAdministration","177","142","35","29","148"
"海巡行政","CoastGuardAdministration","272","226","46","272","－"
"地政","LandAdministration","4479","2015","2464","526","3953"
"博物館管理","MuseumManagement","52","19","33","26","26"
"圖書資訊管理","LibraryManagement","1098","185","913","670","428"
"檔案管理","ArchivesManagement","152","35","117","79","73"
"安全保防","SecurityAdministration","2353","1993","360","2352","1"
"情報行政","IntelligenceAdministration","－","－","－","－","－"
"交通行政","TransportationAdministration","1047","640","407","447","600"
"技術類","TechniqueType","42919","34119","8800","29248","13671"
"農業技術","AgriculturalTechnique","1513","967","546","994","519"
"林業技術","ForestTechnique","928","562","366","813","115"
"農業化學","AgriculturalChemistry","43","21","22","43","－"
"園藝","Horticulture","122","55","67","35","87"
"植物病蟲害防治","PlantblightPreventionandCure","192","106","86","187","5"
"自然保育","NaturalProtection","116","72","44","109","7"
"土木工程","CivilEngineering","10263","9200","1063","5907","4356"
"結構工程","StructuralEngineering","6","6","－","2","4"
"水利工程","WaterResourcesEngineering","475","424","51","214","261"
"環境工程","EnvironmentalEngineering","328","281","47","120","208"
"建築工程","ArchitecturalEngineering","584","471","113","96","488"
"都市計畫技術","UrbanPlanningEngineering","384","237","147","84","300"
"水土保持工程","Soil&WaterConservationEngineering","361","312","49","273","88"
"機械工程","MechanicalEngineering","3312","3242","70","2787","525"
"電力工程","PowerEngineering","5380","5263","117","4840","540"
"電子工程","ElectronicEngineering","2386","2246","140","2042","344"
"電信工程","TelecommunicationEngineering","220","201","19","143","77"
"資訊處理","InformationProcessing","3129","1928","1201","2327","802"
"物理","Physics","84","68","16","83","1"
"原子能","AtomicEnergy","1244","1177","67","1244","－"
"化學工程","ChemicalEngineering","965","748","217","854","111"
"衛生檢驗","HealthInspection","435","129","306","284","151"
"環境檢驗","EnvironmentInspection","190","112","78","75","115"
"農畜水產品檢驗","AgricultureInspection","75","45","30","74","1"
"商品檢驗","CommodityInspection","230","184","46","230","－"
"地質","Geologic","82","66","16","78","4"
"礦冶材料","MineralMaterial","95","85","10","93","2"
"測量製圖","SurveyingandMapping","1650","1468","182","315","1335"
"藥事","Pharmaceutical","288","84","204","228","60"
"法醫","ForensicMedicine","52","39","13","52","－"
"刑事鑑識","ForensicScience","42","30","12","38","4"
"交通技術","TransportationTechnique","715","535","180","357","358"
"天文","Astronomy","23","18","5","8","15"
"氣象","Meteorology","426","322","104","426","－"
"技藝","Skill","338","214","124","291","47"
"視聽製作","AudiovisualManufacture","49","40","9","41","8"
"衛生技術","HealthTechnique","2283","356","1927","1304","979"
"消防技術","FireTechnique","181","168","13","36","145"
"海巡技術","CoastGuardTechnique","170","164","6","170","－"
"水產技術","FisheryTechnique","369","275","94","237","132"
"畜牧技術","PasturageTechnique","324","253","71","228","96"
"獸醫","Veterinarian","899","599","300","312","587"
"工業工程","IndustrialEngineer","522","465","57","376","146"
"工業安全","IndustrialSafety","76","67","9","47","29"
"醫學工程","MedicalEngineering","27","21","6","27","－"
"環保技術","EnvironmentTechnique","826","503","323","245","581"
"航空管制","AerialControl","361","182","179","361","－"
"航空駕駛","AerialPilot","59","58","1","59","－"
"船舶駕駛","MarinePilot","8","8","－","7","1"
"景觀設計","LandscapeDesign","60","30","30","23","37"
"生物技術","BiologicalTechnique","29","12","17","29","－"
"無職系","NoSeries","160874","116023","44851","86790","74084"
