"性別及機關別","Sex & Agency","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15-20年 Years","20-25年 Years","25-30年 Years","30年以上 30 Years & Over","平均年資(年) Average Seniority(Year)"
"總計","GrandTotal","340106","54637","33769","39974","68320","66011","43069","34326","16.91"
"男性","Male","208260","31738","17865","19758","41469","44864","28144","24422","17.77"
"女性","Female","131846","22899","15904","20216","26851","21147","14925","9904","15.55"
"中央各機關","CentralGovernmentAgency","186381","25861","18021","21991","35016","34217","25792","25483","17.98"
"行政機關","AdministrativeAgency","93060","15503","11058","10970","19562","17203","10581","8183","16.23"
"公營事業機構","PublicEnterpriseOrg.","66635","7724","3930","5674","9367","11387","12383","16170","21.19"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17084","1864","2180","3810","3493","3412","1697","628","15.39"
"公立學校(職員)","PublicSchool(Staff)","9602","770","853","1537","2594","2215","1131","502","17.28"
"臺灣各縣市機關","LocalCounty(City)Agency","112333","21047","11517","12578","24624","23866","12691","6010","15.60"
"行政機關","AdministrativeAgency","100553","20195","10301","10670","21437","21479","11012","5459","15.41"
"公營事業機構","PublicEnterpriseOrg.","85","11","10","7","17","14","5","21","19.35"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","249","38","52","71","39","34","9","6","12.43"
"公立學校(職員)","PublicSchool(Staff)","11446","803","1154","1830","3131","2339","1665","524","17.32"
"臺北市各機關","TaipeiCityAgency","27956","5965","2992","3962","6059","4821","2501","1656","14.67"
"行政機關","AdministrativeAgency","20534","5204","2256","2177","4288","3595","1755","1259","14.18"
"公營事業機構","PublicEnterpriseOrg.","2370","416","276","877","437","93","115","156","13.40"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2080","56","166","520","538","499","221","80","17.30"
"公立學校(職員)","PublicSchool(Staff)","2972","289","294","388","796","634","410","161","17.20"
"高雄市各機關","KaohsiungCityAgency","12026","1556","1093","1289","2368","2869","1909","942","17.58"
"行政機關","AdministrativeAgency","10023","1379","909","989","1951","2425","1563","807","17.55"
"公營事業機構","PublicEnterpriseOrg.","94","25","9","12","17","18","8","5","13.56"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","681","57","51","106","155","180","101","31","17.58"
"公立學校(職員)","PublicSchool(Staff)","1228","95","124","182","245","246","237","99","18.13"
"資料來源：全國公務人力資料庫。","Source:AllCivilServantsDatabase."
