"職系別","Series","統計 Grand Total","男性 Male","女性 Female","中央政府 Central Government Agency","地方政府 Local Government Agency"
"總計","GrandTotal","339875","209758","130117","186874","153001"
"行政類","AdministrationType","134647","58435","76212","68877","65770"
"一般行政","GeneralAdministration","34741","13211","21530","15098","19643"
"一般民政","GeneralCivilAffairs","9249","5155","4094","423","8826"
"社會行政","SocialAdministration","4753","1455","3298","1187","3566"
"人事行政","PersonnelAdministration","8389","3292","5097","3936","4453"
"戶政","Population","7086","2868","4218","1839","5247"
"原住民族行政","AboriginesAdministration","187","97","90","44","143"
"社會工作","Socialwork","808","60","748","127","681"
"勞工行政","LaborAdministration","793","309","484","355","438"
"文化行政","CulturalAdministration","490","162","328","170","320"
"教育行政","EducationalAdministration","2362","628","1734","954","1408"
"新聞","News","665","330","335","533","132"
"財稅行政","FinancialAdministration","12178","3186","8992","6682","5496"
"金融保險","FinancialInsurance","991","443","548","905","86"
"統計","Statistic","1185","364","821","859","326"
"會計","Accounting","9177","1675","7502","4507","4670"
"審計","Audit","619","282","337","619","－"
"司法行政","JudicialAdministration","9766","4877","4889","9765","1"
"矯正","Corrections","5824","5186","638","5824","－"
"法制","Constitution","1241","719","522","636","605"
"經建行政","EconomicAdministration","3214","2000","1214","1586","1628"
"企業管理","EnterpriseManagement","1741","1168","573","1618","123"
"工業行政","IndustrialAdministration","39","27","12","10","29"
"商業行政","BusinessAdministration","168","74","94","41","127"
"農業行政","AgriculturalAdministration","832","501","331","478","354"
"智慧財產行政","IntelligencePropertyAdministration","62","20","42","62","－"
"消費者保護","ConsumerProtection","9","7","2","－","9"
"外交事務","ForeignAffairs","1051","775","276","1051","－"
"僑務行政","OverseasCompatriotAdministration","195","90","105","195","－"
"審檢","AuditProsecution","3001","1871","1130","3001","－"
"警察行政","PoliceAdministration","112","97","15","69","43"
"衛生行政","HealthAdministration","1077","219","858","379","698"
"醫務管理","MedicalManagement","137","26","111","94","43"
"環保行政","EnvironmentAdministration","613","318","295","148","465"
"消防行政","FireAdministration","179","146","33","24","155"
"海巡行政","CoastGuardAdministration","281","226","55","281","－"
"地政","LandAdministration","4453","2023","2430","537","3916"
"博物館管理","MuseumManagement","49","17","32","23","26"
"圖書資訊管理","LibraryManagement","1131","193","938","686","445"
"檔案管理","ArchivesManagement","140","36","104","69","71"
"安全保防","SecurityAdministration","2351","2016","335","2349","2"
"情報行政","IntelligenceAdministration","－","－","－","－","－"
"交通行政","TransportationAdministration","1042","638","404","446","596"
"技術類","TechniqueType","42376","33858","8518","28823","13553"
"農業技術","AgriculturalTechnique","1582","1040","542","1058","524"
"林業技術","ForestTechnique","930","576","354","812","118"
"農業化學","AgriculturalChemistry","29","13","16","29","－"
"園藝","Horticulture","111","55","56","33","78"
"植物病蟲害防治","PlantblightPreventionandCure","177","100","77","174","3"
"自然保育","NaturalProtection","93","61","32","88","5"
"土木工程","CivilEngineering","10332","9313","1019","5907","4425"
"結構工程","StructuralEngineering","7","7","－","2","5"
"水利工程","WaterResourcesEngineering","359","326","33","107","252"
"環境工程","EnvironmentalEngineering","323","277","46","129","194"
"建築工程","ArchitecturalEngineering","566","450","116","91","475"
"都市計畫技術","UrbanPlanningEngineering","366","231","135","75","291"
"水土保持工程","Soil&WaterConservationEngineering","326","287","39","245","81"
"機械工程","MechanicalEngineering","3340","3266","74","2789","551"
"電力工程","PowerEngineering","5308","5191","117","4763","545"
"電子工程","ElectronicEngineering","2327","2189","138","1973","354"
"電信工程","TelecommunicationEngineering","194","179","15","126","68"
"資訊處理","InformationProcessing","2969","1781","1188","2197","772"
"物理","Physics","82","68","14","81","1"
"原子能","AtomicEnergy","1215","1152","63","1215","－"
"化學工程","ChemicalEngineering","938","733","205","826","112"
"衛生檢驗","HealthInspection","495","160","335","348","147"
"環境檢驗","EnvironmentInspection","192","111","81","81","111"
"農畜水產品檢驗","AgricultureInspection","67","40","27","67","－"
"商品檢驗","CommodityInspection","221","180","41","221","－"
"地質","Geologic","81","66","15","80","1"
"礦冶材料","MineralMaterial","88","80","8","86","2"
"測量製圖","SurveyingandMapping","1629","1470","159","314","1315"
"藥事","Pharmaceutical","316","97","219","269","47"
"法醫","ForensicMedicine","55","40","15","55","－"
"刑事鑑識","ForensicScience","45","33","12","40","5"
"交通技術","TransportationTechnique","726","558","168","371","355"
"天文","Astronomy","22","19","3","8","14"
"氣象","Meteorology","435","333","102","435","－"
"技藝","Skill","361","228","133","312","49"
"視聽製作","AudiovisualManufacture","50","40","10","40","10"
"衛生技術","HealthTechnique","2227","379","1848","1282","945"
"消防技術","FireTechnique","165","156","9","34","131"
"海巡技術","CoastGuardTechnique","154","148","6","154","－"
"水產技術","FisheryTechnique","350","270","80","223","127"
"畜牧技術","PasturageTechnique","335","256","79","220","115"
"獸醫","Veterinarian","878","598","280","306","572"
"工業工程","IndustrialEngineer","512","460","52","369","143"
"工業安全","IndustrialSafety","61","51","10","36","25"
"醫學工程","MedicalEngineering","24","18","6","24","－"
"環保技術","EnvironmentTechnique","790","476","314","242","548"
"航空管制","AerialControl","369","187","182","369","－"
"航空駕駛","AerialPilot","61","60","1","61","－"
"船舶駕駛","MarinePilot","8","8","－","7","1"
"景觀設計","LandscapeDesign","55","25","30","19","36"
"生物技術","BiologicalTechnique","30","16","14","30","－"
"無職系","NoSeries","162852","117465","45387","89174","73678"
