"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","339875","280675","45954","19838","4121","143656","63979","3127","59200"
"男性","Male","209758","175198","18345","5135","1193","109677","40018","830","34560"
"女性","Female","130117","105477","27609","14703","2928","33979","23961","2297","24640"
"中央各機關","CentralGovernmentAgency","186874","143510","30311","10151","1762","60301","39503","1482","43364"
"行政機關","AdministrativeAgency","90541","81811","17759","3305","793","39834","19186","934","8730"
"公營事業機構","PublicEnterpriseOrg.","69256","43422","3927","2947","690","17392","18152","314","25834"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17447","10146","6379","2502","10","602","620","33","7301"
"公立學校(職員)","PublicSchool(Staff)","9630","8131","2246","1397","269","2473","1545","201","1499"
"臺灣各縣市機關","LocalCounty(City)Agency","111563","102223","9603","6411","1536","65110","18689","874","9340"
"行政機關","AdministrativeAgency","100097","92489","7302","4644","1490","61723","16737","593","7608"
"公營事業機構","PublicEnterpriseOrg.","90","69","5","3","－","41","18","2","21"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","270","137","92","22","－","15","8","－","133"
"公立學校(職員)","PublicSchool(Staff)","11106","9528","2204","1742","46","3331","1926","279","1578"
"臺北市各機關","TaipeiCityAgency","27993","22736","4248","2356","508","11967","3263","394","5257"
"行政機關","AdministrativeAgency","20534","18291","2719","1308","432","11047","2558","227","2243"
"公營事業機構","PublicEnterpriseOrg.","2252","552","245","57","2","108","96","44","1700"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2202","1187","648","431","1","53","50","4","1015"
"公立學校(職員)","PublicSchool(Staff)","3005","2706","636","560","73","759","559","119","299"
"高雄市各機關","KaohsiungCityAgency","12036","10921","1722","894","308","5684","2131","182","1115"
"行政機關","AdministrativeAgency","9987","9350","1207","598","273","5395","1770","107","637"
"公營事業機構","PublicEnterpriseOrg.","89","67","17","6","8","27","9","－","22"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","728","406","236","86","2","33","47","2","322"
"公立學校(職員)","PublicSchool(Staff)","1232","1098","262","204","25","229","305","73","134"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1409","1285","70","26","7","594","393","195","124"
"行政機關","AdministrativeAgency","1177","1090","52","18","7","547","326","140","87"
"公營事業機構","PublicEnterpriseOrg.","98","81","1","－","－","26","23","31","17"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","28","15","8","4","－","－","3","－","13"
"公立學校(職員)","PublicSchool(Staff)","106","99","9","4","－","21","41","24","7"
