"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","343323","287808","50031","19505","4759","144009","67236","2268","55515"
"男性","Male","208888","176369","19755","5240","1387","107405","41894","688","32519"
"女性","Female","134435","111439","30276","14265","3372","36604","25342","1580","22996"
"中央各機關","CentralGovernmentAgency","187114","146299","32384","10241","1984","60129","40410","1151","40815"
"行政機關","AdministrativeAgency","92518","84407","19574","3417","946","39640","20214","616","8111"
"公營事業機構","PublicEnterpriseOrg.","68243","43544","3821","3110","702","17561","17985","365","24699"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16815","10081","6543","2415","5","549","541","28","6734"
"公立學校(職員)","PublicSchool(Staff)","9538","8267","2446","1299","331","2379","1670","142","1271"
"臺灣各縣市機關","LocalCounty(City)Agency","63367","57687","5394","3304","963","35897","11768","361","5680"
"行政機關","AdministrativeAgency","56525","51876","4043","2349","919","33792","10529","244","4649"
"公營事業機構","PublicEnterpriseOrg.","80","60","7","1","－","31","20","1","20"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","52","25","16","1","－","6","2","－","27"
"公立學校(職員)","PublicSchool(Staff)","6710","5726","1328","953","44","2068","1217","116","984"
"新北市各機關","NewTaipeiCityAgency","18288","17450","2253","964","239","11404","2540","50","838"
"行政機關","AdministrativeAgency","16424","15793","1749","689","228","10839","2264","24","631"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","205","127","92","15","－","13","7","－","78"
"公立學校(職員)","PublicSchool(Staff)","1659","1530","412","260","11","552","269","26","129"
"臺北市各機關","TaipeiCityAgency","27940","22759","4320","2220","531","12107","3288","293","5181"
"行政機關","AdministrativeAgency","20466","18390","2772","1238","444","11137","2635","164","2076"
"公營事業機構","PublicEnterpriseOrg.","2528","550","241","65","3","108","90","43","1978"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1989","1115","626","391","2","57","37","2","874"
"公立學校(職員)","PublicSchool(Staff)","2957","2704","681","526","82","805","526","84","253"
"資料來源：全國公務人力資料庫。","Source：AllCivilServantsDatabase."
"表5全國公務人員人數按考試種類分(續)","Table5NumberofAllCivilServants,byExaminationType(Cont.)"
"單位：人","中華民國100年底","Endof2011","Unit：Person"
"性別及機關別Sex&Agency","總計","考試","及格種類ExaminationType","依其他法令進用"
"計","高等考試","普通考試","初等考試","特種考試","升等考試","其他考試"
"GrandTotal","Total","SeniorExamination","JuniorExamination","ElementaryExamination","SpecialExamination","RankPromotionExamination","OtherExamination","AppointedbyOtherDecree"
"臺中市各機關","TaichungCityAgency","14741","14044","1735","884","265","8393","2693","74","697"
"行政機關","AdministrativeAgency","13285","12723","1323","660","255","8033","2415","37","562"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1456","1321","412","224","10","360","278","37","135"
"臺南市各機關","TainanCityAgency","11389","10704","1278","708","286","6185","2174","73","685"
"行政機關","AdministrativeAgency","10323","9734","994","523","279","5904","1990","44","589"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1066","970","284","185","7","281","184","29","96"
"高雄市各機關","KaohsiungCityAgency","19073","17592","2589","1160","483","9290","3966","104","1481"
"行政機關","AdministrativeAgency","16346","15332","1905","815","443","8775","3333","61","1014"
"公營事業機構","PublicEnterpriseOrg.","88","70","15","9","3","30","13","－","18"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","637","368","212","76","4","32","42","2","269"
"公立學校(職員)","PublicSchool(Staff)","2002","1822","457","260","33","453","578","41","180"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1411","1273","78","24","8","604","397","162","138"
"行政機關","AdministrativeAgency","1184","1074","55","16","7","556","323","117","110"
"公營事業機構","PublicEnterpriseOrg.","96","83","5","1","1","26","24","26","13"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","25","15","9","3","－","－","3","－","10"
"公立學校(職員)","PublicSchool(Staff)","106","101","9","4","－","22","47","19","5"
"資料來源：全國公務人力資料庫。","Source：AllCivilServantsDatabase."
