"性別及機關別","Sex & Agency","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15-20年 Years","20-25年 Years","25-30年 Years","30年以上 30 Years & Over","平均年資(年) Average Seniority(Year)"
"總計","GrandTotal","343323","58321","35404","35743","64935","70306","40789","37825","16.88"
"男性","Male","208888","32978","19723","18314","37074","46614","27236","26949","17.79"
"女性","Female","134435","25343","15681","17429","27861","23692","13553","10876","15.47"
"中央各機關","CentralGovernmentAgency","187114","27823","18084","20597","32412","36641","23693","27864","18.00"
"行政機關","AdministrativeAgency","92518","15751","11101","10118","18242","18703","9893","8710","16.28"
"公營事業機構","PublicEnterpriseOrg.","68243","9317","4220","5583","8477","11611","11113","17922","20.98"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16815","1860","1969","3633","3167","3894","1614","678","15.73"
"公立學校(職員)","PublicSchool(Staff)","9538","895","794","1263","2526","2433","1073","554","17.30"
"臺灣各縣市機關","LocalCounty(City)Agency","63367","11272","6530","5704","13762","14666","7317","4116","16.06"
"行政機關","AdministrativeAgency","56525","10688","5859","4825","11890","13111","6445","3707","15.91"
"公營事業機構","PublicEnterpriseOrg.","80","11","8","6","16","16","3","20","19.25"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","52","11","10","10","8","5","4","4","13.37"
"公立學校(職員)","PublicSchool(Staff)","6710","562","653","863","1848","1534","865","385","17.31"
"新北市各機關","NewTaipeiCityAgency","18288","6031","2850","1467","3235","2654","1265","786","11.99"
"行政機關","AdministrativeAgency","16424","5832","2644","1180","2702","2267","1073","726","11.54"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","205","31","39","61","33","27","11","3","12.49"
"公立學校(職員)","PublicSchool(Staff)","1659","168","167","226","500","360","181","57","16.37"
"臺北市各機關","TaipeiCityAgency","27940","6285","2955","3427","5743","5376","2387","1767","14.73"
"行政機關","AdministrativeAgency","20466","5477","2270","1868","3961","3851","1716","1323","14.23"
"公營事業機構","PublicEnterpriseOrg.","2528","435","264","756","564","223","108","178","13.66"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1989","60","97","482","439","606","209","96","17.97"
"公立學校(職員)","PublicSchool(Staff)","2957","313","324","321","779","696","354","170","16.94"
"臺中市各機關","TaichungCityAgency","14741","2438","1802","1269","3540","3194","1685","813","15.84"
"行政機關","AdministrativeAgency","13285","2360","1627","1063","3171","2840","1489","735","15.66"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1456","78","175","206","369","354","196","78","17.55"
"臺南市各機關","TainanCityAgency","11389","1590","1066","1169","2396","2908","1542","718","17.01"
"行政機關","AdministrativeAgency","10323","1547","977","1017","2100","2640","1397","645","16.85"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1066","43","89","152","296","268","145","73","18.48"
"高雄市各機關","KaohsiungCityAgency","19073","2676","1969","1979","3597","4609","2736","1507","17.12"
"行政機關","AdministrativeAgency","16346","2400","1707","1598","2996","3980","2357","1308","17.09"
"公營事業機構","PublicEnterpriseOrg.","88","22","7","10","20","19","5","5","14.16"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","637","50","51","97","132","174","96","37","17.98"
"公立學校(職員)","PublicSchool(Staff)","2002","204","204","274","449","436","278","157","17.26"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1411","206","148","131","250","258","164","254","18.47"
"行政機關","AdministrativeAgency","1184","179","125","101","225","207","132","215","18.40"
"公營事業機構","PublicEnterpriseOrg.","96","16","9","8","8","26","13","16","18.63"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","25","6","7","7","1","1","3","－","10.12"
"公立學校(職員)","PublicSchool(Staff)","106","5","7","15","16","24","16","23","21.20"
