"性別與機關別","Sex & Agency","總計 Grand Total","本機關內調動 Transfer in Original Agency 計 Total","調升 Promotion","平調 General","降調 Degrade","新進人員(人)  Newly-appointed Staff (Person) 計 Total","考試及及格分發 Assignment of Passing Examination","他機關調進 Transferred From Others","其他任用資格 Other Qualification","調至他機關 Transferred To Other Agency","辭職(人) Resignation (Person)"
"總計","GrandTotal","96041","46604","17329","28646","629","32305","11603","16388","4314","16619","513"
"男性","Male","59688","33568","10423","22755","390","16969","6111","8679","2179","8865","286"
"女性","Female","36353","13036","6906","5891","239","15336","5492","7709","2135","7754","227"
"中央各機關","CentralGovernmentAgency","45549","24028","10235","13644","149","14790","5125","6358","3307","6469","262"
"行政機關","AdministrativeAgency","25751","11978","5046","6862","70","8494","3057","5165","272","5177","102"
"公營事業機構","PublicEnterpriseOrg.","15918","10832","4315","6466","51","4612","1829","338","2445","387","87"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1715","496","430","51","15","800","42","197","561","376","43"
"公立學校(職員)","PublicSchool(Staff)","2165","722","444","265","13","884","197","658","29","529","30"
"臺灣各縣市機關","LocalCounty(City)Agency","20270","8966","2641","6087","238","7053","2178","4378","497","4136","115"
"行政機關","AdministrativeAgency","18312","8678","2528","5931","219","5972","2109","3412","451","3553","109"
"公營事業機構","PublicEnterpriseOrg.","15","3","2","－","1","6","3","3","－","6","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","6","2","2","－","－","4","－","2","2","－","－"
"公立學校(職員)","PublicSchool(Staff)","1937","283","109","156","18","1071","66","961","44","577","6"
"新北市各機關","NewTaipeiCityAgency","6870","2660","942","1674","44","2574","1376","1072","126","1601","35"
"行政機關","AdministrativeAgency","6280","2567","896","1634","37","2269","1342","836","91","1412","32"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","47","12","11","－","1","24","1","4","19","11","－"
"公立學校(職員)","PublicSchool(Staff)","543","81","35","40","6","281","33","232","16","178","3"
"臺北市各機關","TaipeiCityAgency","8693","4506","1773","2645","88","2492","1155","1127","210","1633","62"
"行政機關","AdministrativeAgency","7442","4088","1596","2439","53","1971","1075","799","97","1336","47"
"公營事業機構","PublicEnterpriseOrg.","180","61","18","40","3","89","－","7","82","22","8"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","89","31","28","2","1","29","12","7","10","26","3"
"公立學校(職員)","PublicSchool(Staff)","982","326","131","164","31","403","68","314","21","249","4"
"臺中市各機關","TaichungCityAgency","5380","2459","569","1847","43","1981","642","1282","57","936","4"
"行政機關","AdministrativeAgency","4909","2398","544","1813","41","1729","628","1047","54","778","4"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","471","61","25","34","2","252","14","235","3","158","－"
"臺南市各機關","TainanCityAgency","3433","1687","428","1231","28","1190","426","709","55","545","11"
"行政機關","AdministrativeAgency","3184","1657","415","1215","27","1072","421","597","54","444","11"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","249","30","13","16","1","118","5","112","1","101","－"
"高雄市各機關","KaohsiungCityAgency","5468","2159","708","1413","38","2082","664","1366","52","1208","19"
"行政機關","AdministrativeAgency","4966","2059","657","1366","36","1864","614","1217","33","1024","19"
"公營事業機構","PublicEnterpriseOrg.","27","6","3","3","－","10","1","7","2","11","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","58","13","10","3","－","23","10","9","4","22","－"
"公立學校(職員)","PublicSchool(Staff)","417","81","38","41","2","185","39","133","13","151","－"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","378","139","33","105","1","143","37","96","10","91","5"
"行政機關","AdministrativeAgency","321","133","28","104","1","116","35","72","9","69","3"
"公營事業機構","PublicEnterpriseOrg.","31","5","4","1","－","14","2","12","－","10","2"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1","－","－","－","－","1","－","－","1","－","－"
"公立學校(職員)","PublicSchool(Staff)","25","1","1","－","－","12","－","12","－","12","－"
"資料來源：全國公務人力資料庫。","Source：AllCivilServantsDatabase."
