"性別及機關別","Sex & Agency","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","男性 Male","女性 Female"
"總計","GrandTotal","343323","5291","25978","36391","48805","65672","64117","49636","30728","15875","830","43.49","208888","134435"
"男性","Male","208888","3696","13602","19309","29145","39502","39143","30188","21568","12057","678","44.21","",""
"女性","Female","134435","1595","12376","17082","19660","26170","24974","19448","9160","3818","152","42.37","",""
"中央各機關","CentralGovernmentAgency","187114","1043","11289","18422","23947","31624","34120","30425","22408","13144","692","45.19","112934","74180"
"行政機關","AdministrativeAgency","92518","714","6336","9950","14747","18665","17079","13060","7618","4000","349","43.48","56126","36392"
"公營事業機構","PublicEnterpriseOrg.","68243","276","3552","5361","4891","6898","11290","13722","13343","8587","323","48.39","49353","18890"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16815","11","1003","2476","3077","3773","3331","1870","875","386","13","42.07","4078","12737"
"公立學校(職員)","PublicSchool(Staff)","9538","42","398","635","1232","2288","2420","1773","572","171","7","44.38","3377","6161"
"臺灣各縣市機關","LocalCounty(City)Agency","63367","1460","5315","6508","9612","14658","13140","8075","3409","1119","71","41.99","39195","24172"
"行政機關","AdministrativeAgency","56525","1445","5115","5977","8660","12932","11345","6885","3046","1054","66","41.73","37822","18703"
"公營事業機構","PublicEnterpriseOrg.","80","1","5","10","1","7","14","16","15","9","2","47.96","53","27"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","52","－","2","10","9","7","7","9","8","－","－","43.29","15","37"
"公立學校(職員)","PublicSchool(Staff)","6710","14","193","511","942","1712","1774","1165","340","56","3","44.07","1305","5405"
"新北市各機關","NewTaipeiCityAgency","18288","1106","3267","3075","2803","3012","2479","1644","725","173","4","38.02","11563","6725"
"行政機關","AdministrativeAgency","16424","1101","3191","2899","2529","2507","2020","1389","625","159","4","37.43","11232","5192"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","205","－","8","43","41","36","39","18","15","5","－","41.82","69","136"
"公立學校(職員)","PublicSchool(Staff)","1659","5","68","133","233","469","420","237","85","9","－","43.39","262","1397"
"臺北市各機關","TaipeiCityAgency","27940","816","2746","3712","4810","5199","4585","3594","1801","648","29","41.31","15856","12084"
"行政機關","AdministrativeAgency","20466","787","2453","2981","3395","3501","3124","2461","1282","459","23","40.52","12950","7516"
"公營事業機構","PublicEnterpriseOrg.","2528","6","144","343","734","565","289","197","150","96","4","41.32","1892","636"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1989","3","19","154","326","460","461","346","166","52","2","44.92","474","1515"
"公立學校(職員)","PublicSchool(Staff)","2957","20","130","234","355","673","711","590","203","41","－","44.36","540","2417"
"臺中市各機關","TaichungCityAgency","14741","405","1329","1570","2609","3528","2863","1591","587","244","15","41.12","9380","5361"
"行政機關","AdministrativeAgency","13285","403","1300","1472","2392","3163","2475","1328","508","230","14","40.76","9142","4143"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1456","2","29","98","217","365","388","263","79","14","1","44.42","238","1218"
"臺南市各機關","TainanCityAgency","11389","137","776","1043","1823","2947","2507","1422","541","188","5","42.41","7257","4132"
"行政機關","AdministrativeAgency","10323","136","759","989","1680","2652","2206","1234","482","180","5","42.17","7108","3215"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1066","1","17","54","143","295","301","188","59","8","－","44.70","149","917"
"高雄市各機關","KaohsiungCityAgency","19073","310","1168","1901","2965","4499","4209","2660","1055","295","11","42.63","11651","7422"
"行政機關","AdministrativeAgency","16346","300","1058","1709","2569","3899","3524","2136","880","260","11","42.35","11062","5284"
"公營事業機構","PublicEnterpriseOrg.","88","2","8","8","12","14","13","11","17","3","－","44.33","52","36"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","637","1","13","34","98","135","169","121","52","14","－","45.32","195","442"
"公立學校(職員)","PublicSchool(Staff)","2002","7","89","150","286","451","503","392","106","18","－","43.98","342","1660"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1411","14","88","160","236","205","214","225","202","64","3","44.39","1052","359"
"行政機關","AdministrativeAgency","1184","13","78","138","205","176","179","180","156","56","3","44.06","927","257"
"公營事業機構","PublicEnterpriseOrg.","96","－","5","8","11","9","20","17","21","5","－","46.82","70","26"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","25","1","4","8","6","1","1","3","1","－","－","36.40","12","13"
"公立學校(職員)","PublicSchool(Staff)","106","－","1","6","14","19","14","25","24","3","－","47.79","43","63"
